PA,district_name,state_abbr,state_name,new_26,new_26_desc,24,24_desc,22,22_desc,20,20_desc,18,18_desc,16,16_desc
403,AZ-03,AZ,Arizona,,,No,,Yes,"AZ-3 was rebuilt almost from scratch, giving up Santa Cruz County, dropping out of Pima County and dropping out of Maricopa County. It was safely Democratic.",No,,No,,No,
404,AZ-04,AZ,Arizona,,,No,,Yes,"AZ-4 was rebuilt almost from scratch, giving up La Paz County, dropping out of Mohave County and dropping out of Yavapai County. It was a Democratic-leaning toss-up.",No,,No,,No,
405,AZ-05,AZ,Arizona,,,No,,Yes,"AZ-5 was reshaped, trading territory with AZ-4 within the same counties. It was solidly Republican.",No,,No,,No,
406,AZ-06,AZ,Arizona,,,No,,Yes,"AZ-6 was rebuilt almost from scratch, adding Greenlee County, taking 93% of Cochise County and taking 63% of Graham County. It was a Republican-leaning toss-up.",No,,No,,No,
407,AZ-07,AZ,Arizona,,,No,,Yes,"AZ-7 was rebuilt almost from scratch, adding Santa Cruz County, taking 81% of Pima County and taking 44% of Yuma County. It was safely Democratic.",No,,No,,No,
408,AZ-08,AZ,Arizona,,,No,,Yes,"AZ-8 was reshaped, trading territory with AZ-4 and AZ-6 within the same counties. It was solidly Republican.",No,,No,,No,
409,AZ-09,AZ,Arizona,,,No,,Yes,"AZ-9 was rebuilt almost from scratch, adding La Paz County, taking 93% of Mohave County and taking 56% of Yuma County. It was safely Republican.",No,,No,,No,
501,AR-01,AR,Arkansas,,,No,,Yes,"AR-1 kept most of its previous shape, adding Boone and Marion counties, taking 16% of Pulaski County and giving up Cleburne County. It was safely Republican.",No,,No,,No,
502,AR-02,AR,Arkansas,,,No,,Yes,"AR-2 kept most of its previous shape, adding Cleburne County and cutting its share of Pulaski County from 100% to 70%. It was solidly Republican.",No,,No,,No,
503,AR-03,AR,Arkansas,,,No,,Yes,"AR-3 was substantially redrawn, adding Madison County, taking in the rest of Crawford County and raising its share of Sebastian County from 50% to 61%. It was safely Republican.",No,,No,,No,
504,AR-04,AR,Arkansas,,,No,,Yes,"AR-4 kept most of its previous shape, adding Pope County, taking in the rest of Newton County and taking in the rest of Jefferson County. It was safely Republican.",No,,No,,No,
601,CA-01,CA,California,Yes,"CA-1 swung west off the Oregon border, giving up Modoc, Siskiyou and Shasta counties along with Sutter, Colusa and its share of Yuba. In their place it took Sierra and Plumas counties, most of Lake, 61% of Mendocino and 39% of Sonoma — a trade that turned a safely Republican seat into a Democratic-leaning one.",No,,Yes,"CA-1 was reshaped, adding Colusa and Sutter counties, taking in the rest of Glenn County and taking 33% of Yuba County. It was solidly Republican.",No,,No,,No,
602,CA-02,CA,California,Yes,"CA-2 nearly doubled in area, taking Modoc, Siskiyou and Shasta counties from CA-1 while giving up most of Mendocino, down from 100% to 39%, and half its share of Sonoma. It absorbed the conservative far north and remains solidly Democratic, though less lopsidedly so.",No,,Yes,"CA-2 kept most of its previous shape, trading territory with CA-5 within the same counties. It was safely Democratic.",No,,No,,No,
603,CA-03,CA,California,Yes,"CA-3 shed the long spine it had run down the eastern Sierra — Inyo, Mono, Alpine, Plumas, Sierra and Yuba counties — cutting its area by 84%. The compact new seat sits on Placer, El Dorado and Nevada counties with a larger slice of Sacramento County, up from 9% to 17%, and now leans Democratic.",No,,Yes,"CA-3 was rebuilt almost from scratch, adding Sierra, Nevada, Inyo, Placer, Alpine and Plumas counties and one more, taking 75% of El Dorado County and giving up Colusa, Sutter and Yolo counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It leaned Republican.",No,,No,,No,
604,CA-04,CA,California,Yes,"CA-4 moved into the Sacramento Valley, adding Yuba, Sutter and Colusa counties and a slice of Placer while giving up Solano County entirely and most of Lake. Trading wine-country ground for farmland left it solidly Democratic rather than safely so.",No,,Yes,"CA-4 was rebuilt almost from scratch, adding Napa, Lake and Yolo counties, taking 56% of Solano County and taking 20% of Sonoma County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
605,CA-05,CA,California,Yes,"CA-5 more than doubled in area, absorbing the eastern Sierra counties CA-3 gave up — Inyo, Mono and Alpine — plus larger shares of Madera and Stanislaus. It remains solidly Republican.",No,,Yes,"CA-5 was rebuilt almost from scratch, adding Tuolumne, Calaveras, Mariposa and Amador counties, taking 69% of Madera County and taking 36% of Fresno County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Republican.",No,,No,,No,
606,CA-06,CA,California,Yes,"CA-6 was substantially reshuffled around Sacramento, with about half its area coming from the old CA-3 and CA-7 while its own share of Sacramento County fell from 25% to 12%. It stays Democratic-leaning.",No,,Yes,"CA-6 was substantially redrawn, raising its share of Sacramento County from 14% to 25%. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It leaned Democratic.",No,,No,,No,
607,CA-07,CA,California,Yes,"CA-7 doubled in area, reaching east and south to add 29% of El Dorado County and 26% of San Joaquin, while its share of Sacramento County slipped from 65% to 56%. It remains Democratic but by a narrower margin.",No,,Yes,"CA-7 was reshaped, trading territory with CA-3, CA-6 and CA-9 within the same counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
608,CA-08,CA,California,Yes,"CA-8 took all of Solano County, up from 42%, along with new shares of Yolo, Sacramento and San Joaquin, more than doubling its area. Its share of Contra Costa County fell from 23% to 11%, and it stays safely Democratic.",No,,Yes,"CA-8 was rebuilt almost from scratch, taking 42% of Solano County, taking 23% of Contra Costa County and giving up Inyo, Mono and San Bernardino counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
609,CA-09,CA,California,Yes,"CA-9's share of San Joaquin County dropped from 84% to 36% and it left Stanislaus County altogether, more than halving its area, while gaining ground in Contra Costa. It remains solidly Democratic.",No,,Yes,"CA-9 kept most of its previous shape, cutting its share of Contra Costa County from 22% to 6%. It leaned Democratic.",No,,No,,No,
610,CA-10,CA,California,Yes,"CA-10 picked up territory from CA-8, CA-9 and CA-14 across the East Bay, raising its share of Alameda County from 1% to 7%. It stays safely Democratic.",No,,Yes,"CA-10 was rebuilt almost from scratch, taking 71% of Contra Costa County, giving up Stanislaus County and dropping out of San Joaquin County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
611,CA-11,CA,California,Yes,CA-11 gave up 8% of San Francisco to CA-15 and otherwise held its shape. It remains one of the most Democratic districts in the country.,No,,Yes,"CA-11 was rebuilt almost from scratch, adding San Francisco County and dropping out of Contra Costa County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
612,CA-12,CA,California,Yes,"CA-12's Oakland-area lines were essentially unchanged, with only small exchanges along its edges. It stays safely Democratic.",No,,Yes,"CA-12 was rebuilt almost from scratch, taking 12% of Alameda County and dropping out of San Francisco County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
613,CA-13,CA,California,Yes,"CA-13's share of Fresno County collapsed from 43% to 6% and its share of Madera fell from 31% to 20%, cutting its area by nearly 40%, with most of that territory going to CA-22 and CA-18. It remains a Central Valley toss-up.",No,,Yes,"CA-13 was rebuilt almost from scratch, adding Merced County, taking 56% of Stanislaus County and taking 43% of Fresno County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It leaned Democratic.",No,,No,,No,
614,CA-14,CA,California,Yes,CA-14 gave up a small share of Alameda County to CA-10 and exchanged minor territory with its Peninsula neighbors. It stays safely Democratic.,No,,Yes,"CA-14 was rebuilt almost from scratch, taking 78% of Alameda County, dropping out of San Mateo County and dropping out of San Francisco County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
615,CA-15,CA,California,Yes,CA-15 took in 8% of San Francisco from CA-11 and was otherwise essentially unchanged. It remains safely Democratic.,No,,Yes,"CA-15 was rebuilt almost from scratch, taking 25% of San Mateo County and dropping out of Alameda County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
616,CA-16,CA,California,Yes,"CA-16's Silicon Valley lines were essentially unchanged, with only edge exchanges with CA-15, CA-17 and CA-19. It stays safely Democratic.",No,,Yes,"CA-16 was rebuilt almost from scratch, taking 74% of San Mateo County, taking 14% of Santa Clara County and giving up Merced County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
617,CA-17,CA,California,Yes,"CA-17 kept its San Jose-area shape, trading small amounts of territory with CA-14, CA-16 and CA-18. It remains safely Democratic.",No,,Yes,"CA-17 kept most of its previous shape, trading territory with CA-19 and CA-18 within the same counties. It was safely Democratic.",No,,No,,No,
618,CA-18,CA,California,Yes,"CA-18 expanded inland from the coast, adding 24% of Kings County and 16% of Fresno County from CA-13 and CA-22. It stays safely Democratic.",No,,Yes,"CA-18 was rebuilt almost from scratch, adding San Benito County, taking 73% of Monterey County and raising its share of Santa Clara County from 18% to 57%. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
619,CA-19,CA,California,Yes,CA-19's central coast lines were essentially unchanged. It remains safely Democratic.,No,,Yes,"CA-19 was rebuilt almost from scratch, taking 89% of Santa Cruz County, taking 40% of San Luis Obispo County and cutting its share of Santa Clara County from 70% to 18%. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
620,CA-20,CA,California,Yes,"CA-20 took slightly larger shares of Tulare, Kings and Kern counties from CA-22 and CA-21. It remains the most Republican district in California.",No,,Yes,"CA-20 was rebuilt almost from scratch, taking 70% of Tulare County, taking 65% of Kern County and giving up Monterey and San Benito counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Republican.",No,,No,,No,
621,CA-21,CA,California,Yes,"CA-21 lost about 30% of its area around Fresno to CA-20 and CA-22, taking only small amounts back. It stays Democratic-leaning but is more competitive than before.",No,,Yes,"CA-21 was rebuilt almost from scratch, giving up Kings County, cutting its share of Fresno County from 47% to 8% and dropping out of Kern County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Democratic.",No,,No,,No,
622,CA-22,CA,California,Yes,"CA-22 moved north in the Central Valley, taking 23% of Fresno County from CA-13 while its shares of Kings, down from 82% to 53%, and Kern, down from 27% to 20%, fell. The shift made this Republican-held seat a genuine toss-up.",No,,Yes,"CA-22 was rebuilt almost from scratch, taking 82% of Kings County and taking 27% of Kern County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It leaned Democratic.",No,,No,,No,
623,CA-23,CA,California,Yes,"CA-23 expanded across the desert, adding a quarter of Riverside County from CA-25 and raising its share of San Bernardino County from 84% to 96%. It remains solidly Republican.",No,,Yes,"CA-23 was rebuilt almost from scratch, taking 84% of San Bernardino County, dropping out of Tulare County and cutting its share of Kern County from 77% to 8%. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Republican.",No,,No,,No,
624,CA-24,CA,California,Yes,CA-24's central coast lines were essentially unchanged apart from a small exchange with CA-26. It stays solidly Democratic.,No,,Yes,"CA-24 was reshaped, cutting its share of San Luis Obispo County from 100% to 60% and cutting its share of Ventura County from 45% to 9%. It was solidly Democratic.",No,,No,,No,
625,CA-25,CA,California,Yes,"CA-25 gave up a third of its area to CA-23, its share of Riverside County falling from 71% to 50% and San Bernardino from 13% to 1%. It remains Democratic-leaning.",No,,Yes,"CA-25 was rebuilt almost from scratch, adding Imperial County, taking 71% of Riverside County and taking 13% of San Bernardino County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It leaned Democratic.",No,,No,,No,
626,CA-26,CA,California,Yes,"CA-26 reached east out of Ventura County into Los Angeles County, raising its share there from 1% to 14% with territory from CA-27. It stays solidly Democratic.",No,,Yes,"CA-26 was reshaped, raising its share of Ventura County from 51% to 90%. It was solidly Democratic.",No,,No,,No,
627,CA-27,CA,California,Yes,"CA-27's share of Los Angeles County fell from 37% to 20%, nearly halving its area, with most of the lost ground going to CA-26 and CA-30. It remains Democratic-leaning.",No,,Yes,"CA-27 was rebuilt almost from scratch, raising its share of Los Angeles County from 17% to 38%. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It leaned Democratic.",No,,No,,No,
628,CA-28,CA,California,Yes,"CA-28 took territory from CA-31 in the San Gabriel Valley and gave smaller pieces to CA-31, CA-30 and CA-35. It stays solidly Democratic.",No,,Yes,"CA-28 was rebuilt almost from scratch, trading territory with CA-27 and CA-8 within the same counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
629,CA-29,CA,California,Yes,"CA-29 was substantially rebuilt in the San Fernando Valley: about half its old area went to CA-30, and a third of its new area came from CA-30 and CA-32. It remains safely Democratic.",No,,Yes,"CA-29 was reshaped, trading territory with CA-28, CA-30 and CA-25 within the same counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
630,CA-30,CA,California,Yes,"CA-30 more than doubled in area, absorbing territory from CA-27 and CA-29 and raising its share of Los Angeles County from 4% to 10%. It stays safely Democratic.",No,,Yes,"CA-30 was rebuilt almost from scratch, trading territory with CA-28, CA-33 and CA-25 within the same counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
631,CA-31,CA,California,Yes,"CA-31 was heavily reworked in the San Gabriel Valley, giving about half its old area to CA-28 and CA-38 and drawing a similar share of its new area from CA-35, CA-28 and CA-38. It remains solidly Democratic.",No,,Yes,"CA-31 was rebuilt almost from scratch, trading territory with CA-27 and CA-32 within the same counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
632,CA-32,CA,California,Yes,"CA-32 took territory from CA-26 and CA-27 in the western San Fernando Valley and gave similar amounts back to CA-26, CA-29 and CA-27. It stays solidly Democratic.",No,,Yes,"CA-32 was rebuilt almost from scratch, trading territory with CA-33 and CA-30 within the same counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
633,CA-33,CA,California,Yes,"CA-33 gained territory from CA-39, CA-23 and CA-35 and gave up smaller pieces to CA-28 and CA-23. It is now Democratic-leaning rather than solidly Democratic.",No,,Yes,"CA-33 was rebuilt almost from scratch, trading territory with CA-31, CA-35 and CA-8 within the same counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Democratic.",No,,No,,No,
634,CA-34,CA,California,Yes,"CA-34 took territory from CA-30 in central Los Angeles and distributed about a fifth of its old area among CA-28, CA-37 and CA-38. It remains safely Democratic.",No,,Yes,"CA-34 kept most of its previous shape, trading territory with CA-40, CA-27 and CA-37 within the same counties. It was safely Democratic.",No,,No,,No,
635,CA-35,CA,California,Yes,CA-35 drew more than a third of its area from the old CA-40 and CA-41 and gave about a quarter of its former territory to CA-31 and CA-33. It is now Democratic-leaning rather than solidly Democratic.,No,,Yes,"CA-35 kept most of its previous shape, trading territory with CA-42, CA-31 and CA-39 within the same counties. It was solidly Democratic.",No,,No,,No,
636,CA-36,CA,California,Yes,"CA-36's western Los Angeles County lines were essentially unchanged, with small exchanges with CA-43 and CA-32. It stays safely Democratic.",No,,Yes,"CA-36 was rebuilt almost from scratch, dropping out of Riverside County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
637,CA-37,CA,California,Yes,CA-37 took territory from CA-34 and CA-43 in central Los Angeles and gave a smaller amount to CA-44. It remains safely Democratic.,No,,Yes,"CA-37 was reshaped, trading territory with CA-40 and CA-43 within the same counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
638,CA-38,CA,California,Yes,"CA-38 was substantially rebuilt: about 70% of the area it gave up went to the new CA-41, while half its new area came from the old CA-40, CA-31 and CA-42. Its share of Orange County rose from 1% to 6% and it stays solidly Democratic.",No,,Yes,"CA-38 was reshaped, trading territory with CA-39 and CA-32 within the same counties. It was solidly Democratic.",No,,No,,No,
639,CA-39,CA,California,Yes,"CA-39 took a small amount of territory from the old CA-41 and gave up about a tenth of its area, mostly to CA-33. It is now Democratic-leaning rather than solidly Democratic.",No,,Yes,"CA-39 was rebuilt almost from scratch, dropping out of Orange County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Democratic.",No,,No,,No,
640,CA-40,CA,California,Yes,"CA-40 nearly doubled in area, taking 70% of its territory from the old CA-41 and CA-48 and picking up 7% of Riverside County, while its share of Orange County fell from 43% to 31%. It is the one California seat the new map made more Republican.",No,,Yes,"CA-40 was rebuilt almost from scratch, taking 43% of Orange County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was a Republican-leaning toss-up.",No,,No,,No,
641,CA-41,CA,California,Yes,"CA-41 shares no territory at all with its predecessor. The old district sat entirely inside Riverside County; the new one is 93% smaller and straddles the Los Angeles-Orange county line, built from the old CA-38, CA-42, CA-45 and CA-44. The renumbering turned a Republican-held seat into a solidly Democratic one.",No,,Yes,"CA-41 was rebuilt almost from scratch, taking 19% of Riverside County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was a Republican-leaning toss-up.",No,,No,,No,
642,CA-42,CA,California,Yes,"CA-42 reached south into Orange County for the first time, from 0% to 9% of the county, taking most of that territory from CA-47, and gave pieces of its old area to the new CA-41, CA-44 and CA-38. It remains solidly Democratic but much less lopsided than before.",No,,Yes,"CA-42 was rebuilt almost from scratch, dropping out of Riverside County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
643,CA-43,CA,California,Yes,CA-43 exchanged modest territory with CA-36 and CA-44 in south Los Angeles County. It remains safely Democratic.,No,,Yes,"CA-43 was reshaped, trading territory with CA-44, CA-33 and CA-37 within the same counties. It was safely Democratic.",No,,No,,No,
644,CA-44,CA,California,Yes,CA-44 took territory from CA-42 and gave about a fifth of its old area to the new CA-41 and to CA-42. It stays safely Democratic.,No,,Yes,"CA-44 was reshaped, trading territory with CA-47, CA-43 and CA-38 within the same counties. It was safely Democratic.",No,,No,,No,
645,CA-45,CA,California,Yes,"CA-45 was reworked in Orange County, drawing about a quarter of its area from CA-47, CA-38 and CA-46 while giving up a similar share to CA-46 and the new CA-41. It remains a toss-up.",No,,Yes,"CA-45 was rebuilt almost from scratch, cutting its share of Orange County from 41% to 11%. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was a Democratic-leaning toss-up.",No,,No,,No,
646,CA-46,CA,California,Yes,"CA-46 grew by a third in northern Orange County, taking territory from CA-45 and CA-40. It stays solidly Democratic.",No,,Yes,"CA-46 was reshaped, trading territory with CA-39 and CA-47 within the same counties. It was safely Democratic.",No,,No,,No,
647,CA-47,CA,California,Yes,CA-47 gave more than half its old area to CA-42 and rebuilt itself from the old CA-40 and CA-49 along the Orange County coast. It remains Democratic-leaning.,No,,Yes,"CA-47 was rebuilt almost from scratch, taking 25% of Orange County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was a Democratic-leaning toss-up.",No,,No,,No,
648,CA-48,CA,California,Yes,"CA-48 moved north into Riverside County, its share rising from 5% to 13% with territory from the old CA-41, while its share of San Diego County fell from 77% to 47%. The Republican-held seat became a narrow toss-up.",No,,Yes,"CA-48 was rebuilt almost from scratch, taking 77% of San Diego County and dropping out of Orange County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Republican.",No,,No,,No,
649,CA-49,CA,California,Yes,CA-49 expanded along the northern San Diego County coast with territory from CA-50 and CA-48. It remains Democratic-leaning.,No,,Yes,"CA-49 was reshaped, trading territory with CA-48, CA-50 and CA-45 within the same counties. It was a Democratic-leaning toss-up.",No,,No,,No,
650,CA-50,CA,California,Yes,"CA-50 took more than half its new area from CA-48 and CA-51, raising its share of San Diego County from 6% to 10%, and gave up a comparable amount to CA-49 and CA-48. It stays solidly Democratic.",No,,Yes,"CA-50 was rebuilt almost from scratch, cutting its share of San Diego County from 65% to 6%. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Democratic.",No,,No,,No,
651,CA-51,CA,California,Yes,"CA-51 nearly tripled in area, taking 86% of its territory from CA-48 and raising its share of San Diego County from 5% to 14%, while most of its old area went to CA-50. It remains solidly Democratic.",No,,Yes,"CA-51 was rebuilt almost from scratch, giving up Imperial County and dropping out of San Diego County. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Democratic.",No,,No,,No,
652,CA-52,CA,California,Yes,"CA-52 grew fivefold in area, taking 81% of its new territory from CA-48 and raising its share of San Diego County from 3% to 16%. It remains solidly Democratic.",No,,Yes,"CA-52 was rebuilt almost from scratch, trading territory with CA-51 and CA-53 within the same counties. California lost a seat in the 2020 reapportionment, which shifted lines across the state. It was safely Democratic.",No,,No,,No,
653,CA-53,CA,California,Inactive,,Inactive,,Inactive,,No,,No,,No,
801,CO-01,CO,Colorado,,,No,,Yes,"CO-1 was reshaped, trading territory with CO-6 and CO-7 within the same counties. It was safely Democratic.",No,,No,,No,
802,CO-02,CO,Colorado,,,No,,Yes,"CO-2 kept most of its previous shape, adding Routt and Jackson counties, raising its share of Eagle County from 31% to 74% and dropping out of Jefferson County. It was safely Democratic.",No,,No,,No,
803,CO-03,CO,Colorado,,,No,,Yes,"CO-3 kept most of its previous shape, adding Las Animas and Otero counties, giving up Routt, Jackson, Custer and Lake counties and cutting its share of Eagle County from 69% to 26%. It leaned Republican.",No,,No,,No,
804,CO-04,CO,Colorado,,,No,,Yes,"CO-4 was reshaped, taking 31% of El Paso County, giving up Las Animas and Otero counties and cutting its share of Weld County from 100% to 80%. It was solidly Republican.",No,,No,,No,
805,CO-05,CO,Colorado,,,No,,Yes,"CO-5 was rebuilt almost from scratch, giving up Teller, Fremont and Chaffee counties, dropping out of Park County and cutting its share of El Paso County from 100% to 69%. Colorado gained a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Republican.",No,,No,,No,
806,CO-06,CO,Colorado,,,No,,Yes,"CO-6 was substantially redrawn, cutting its share of Adams County from 23% to 8%. Colorado gained a seat in the 2020 reapportionment, which shifted lines across the state. It was solidly Democratic.",No,,No,,No,
807,CO-07,CO,Colorado,,,No,,Yes,"CO-7 was substantially redrawn, adding Teller, Custer, Park, Fremont, Chaffee and Lake counties, raising its share of Jefferson County from 24% to 92% and raising its share of Broomfield County from 12% to 52%. Colorado gained a seat in the 2020 reapportionment, which shifted lines across the state. It leaned Democratic.",No,,No,,No,
808,CO-08,CO,Colorado,,,No,,Yes,"CO-8 was a new seat, created when Colorado gained a district in the 2020 reapportionment, drawn from parts of Adams, Broomfield and Weld counties. It was evenly split.",Inactive,,Inactive,,Inactive,
901,CT-01,CT,Connecticut,,,No,,Yes,"CT-1 kept most of its previous shape, trading territory with CT-3, CT-5 and CT-2 within the same counties. It was solidly Democratic.",No,,No,,No,
902,CT-02,CT,Connecticut,,,No,,Yes,"CT-2 kept most of its previous shape, trading territory with CT-1 within the same counties. It was a Democratic-leaning toss-up.",No,,No,,No,
903,CT-03,CT,Connecticut,,,No,,Yes,"CT-3 kept most of its previous shape, trading territory with CT-4 within the same counties. It leaned Democratic.",No,,No,,No,
904,CT-04,CT,Connecticut,,,No,,Yes,"CT-4 kept most of its previous shape, trading territory with CT-3 and CT-5 within the same counties. It was solidly Democratic.",No,,No,,No,
