office,state,race,year,election_type,party,candidate,fec_id,reports,receipts_sept,receipts_full_from_reports,receipts_final_csv
H,FL,FL-14,2022,Regular,R,James Judge,H2FL14277,8,157936.67,216847.03,216847.03
H,FL,FL-15,2022,Regular,D,Alan Cohn,H4FL15155,11,178270.22,825897.45,825897.45
H,FL,FL-15,2022,Regular,R,Laurel Lee,H2FL15241,10,663457.87,1563092.79,1563092.79
H,FL,FL-16,2022,Regular,D,Jan Schneider,H2FL13139,19,12621.23,22651.67,22651.67
H,FL,FL-16,2022,Regular,R,Vern Buchanan,H6FL13148,11,3737530.35,4693372.70,4693372.7
H,FL,FL-17,2022,Regular,D,Andrea Doria Kale,H2FL17106,6,18215.22,27724.28,27724.28
H,FL,FL-17,2022,Regular,R,Gregory Steube,H8FL17053,11,1278176.68,1645535.54,1645535.54
H,FL,FL-18,2022,Regular,D,Keith Hayden Jr.,H2FL18138,1,0.00,0.00,0.0
H,FL,FL-18,2022,Regular,R,Scott Franklin,H0FL15104,11,823143.72,1111918.47,1111918.47
H,FL,FL-19,2022,Regular,D,Cindy Banyai,H0FL19106,11,78757.38,108926.24,108926.24
H,FL,FL-19,2022,Regular,R,Byron Donalds,H2FL14186,11,4805548.69,5657617.12,5657617.12
H,FL,FL-20,2022,Regular,D,Sheila Cherfilus-McCormick,H8FL20032,12,6397859.19,6779418.80,6779418.8
H,FL,FL-20,2022,Regular,R,Drew Montez Clark,H2FL25083,9,115738.02,145971.24,145971.24
H,FL,FL-21,2022,Regular,D,Corinna Balderramos Robinson,H2FL18096,9,45506.09,82386.46,82386.46
H,FL,FL-21,2022,Regular,R,Brian Mast,H6FL18097,11,5485026.79,6338072.31,6338072.31
H,FL,FL-22,2022,Regular,D,Lois Frankel,H2FL14053,11,961321.30,1275269.43,1275269.43
H,FL,FL-22,2022,Regular,R,Dan Franzese,H2FL21108,10,817660.05,1614198.79,1614198.79
H,FL,FL-23,2022,Regular,D,Jared Moskowitz,H2FL22171,7,1306742.90,1752697.27,1752697.27
H,FL,FL-23,2022,Regular,R,Joe Budd,H2FL23138,6,114900.71,171383.71,171383.71
H,FL,FL-24,2022,Regular,D,Frederica Wilson,H0FL17068,11,450823.00,623725.06,623725.06
H,FL,FL-24,2022,Regular,R,Jesus Navarro,H2FL24078,5,1200.04,15868.09,15868.09
H,FL,FL-25,2022,Regular,D,Debbie Wasserman Schultz,H4FL20023,11,1560018.69,2087129.07,2087129.07
H,FL,FL-25,2022,Regular,R,Carla Spalding,H0FL23090,11,1659107.80,2002921.50,2002921.5
H,FL,FL-26,2022,Regular,D,Christine Alexandria Olivo,H2FL24037,10,132185.60,138186.98,138186.98
H,FL,FL-26,2022,Regular,R,Mario Diaz-Balart,H2FL25018,11,1372440.86,1823501.56,1823501.56
H,FL,FL-27,2022,Regular,D,Annette Taddeo,H8FL00034,6,661063.59,1928038.74,1928038.74
H,FL,FL-27,2022,Regular,R,Maria Elvira Salazar,H8FL27185,12,3939358.26,5647931.39,5647931.39
H,FL,FL-28,2022,Regular,D,Robert Asencio,H2FL28038,6,27548.88,124784.97,124784.97
H,FL,FL-28,2022,Regular,R,Carlos Gimenez,H0FL26036,12,1812505.36,2143685.24,2143685.24
H,GA,GA-01,2022,Regular,D,Wade Herring,H2GA01249,11,884942.88,1395014.76,1395014.76
H,GA,GA-01,2022,Regular,R,Buddy Carter,H4GA01039,11,1515223.22,2127328.91,2127328.91
H,GA,GA-02,2022,Regular,D,Sanford Bishop,H2GA02031,11,1938023.78,3042832.27,3042832.27
H,GA,GA-02,2022,Regular,R,Chris West,H2GA02155,13,396861.24,1020600.40,1020600.4
H,GA,GA-03,2022,Regular,D,Val Almonord,H0GA03074,11,45395.83,76890.66,76890.66
H,GA,GA-03,2022,Regular,R,Drew Ferguson,H6GA03113,11,2734547.92,3427041.42,3427041.42
H,GA,GA-04,2022,Regular,D,Hank Johnson,H6GA04129,11,368335.82,567457.14,567457.14
H,GA,GA-05,2022,Regular,D,Nikema Williams,H0GA05301,11,853271.84,1152788.78,1152788.78
H,GA,GA-05,2022,Regular,R,Christian Zimm,H2GA05166,7,14708.28,35221.14,35221.14
H,GA,GA-06,2022,Regular,D,Bob Christian,H2GA06222,7,171206.16,308464.89,308464.89
H,GA,GA-06,2022,Regular,R,Rich McCormick,H0GA07273,16,3433227.04,4636744.33,4636744.33
H,GA,GA-07,2022,Regular,D,Lucy McBath,H8GA06393,11,4881809.98,5596710.62,5596710.62
H,GA,GA-07,2022,Regular,R,Mark Gonsalves,H0GA07232,8,329891.80,567363.58,567363.58
H,GA,GA-08,2022,Regular,D,Darrius Butler,H2GA08095,4,22543.42,22543.42,22543.42
H,GA,GA-08,2022,Regular,R,Austin Scott,H0GA08099,11,604873.22,832289.28,832289.28
H,GA,GA-09,2022,Regular,D,Mike Ford,H2GA09234,6,23758.76,36015.70,36015.7
H,GA,GA-09,2022,Regular,R,Andrew Clyde,H0GA09246,11,569774.80,819947.75,819947.75
H,GA,GA-10,2022,Regular,D,Tabitha Johnson-Green,H8GA10197,12,25325.63,48652.44,48652.44
H,GA,GA-10,2022,Regular,R,Mike Collins,H4GA10071,12,1232153.18,1467857.85,1467857.85
H,GA,GA-11,2022,Regular,D,Antonio Daza-Fernandez,H2GA11230,9,77407.31,102176.81,102176.81
H,GA,GA-11,2022,Regular,R,Barry Loudermilk,H4GA11061,11,567921.53,795499.29,795499.29
H,GA,GA-12,2022,Regular,D,Liz Johnson,H0GA12059,10,160673.64,194751.23,194751.23
H,GA,GA-12,2022,Regular,R,Rick Allen,H2GA12121,11,731190.39,990712.76,990712.76
H,GA,GA-13,2022,Regular,D,David Scott,H2GA13012,11,1670785.27,2007965.55,2007965.55
H,GA,GA-13,2022,Regular,R,Caesar Gonzales,H0GA13149,4,1149.20,10568.64,19033.64
H,GA,GA-14,2022,Regular,D,Marcus Flowers,H2GA14044,11,10762237.53,16972737.74,16972737.74
H,GA,GA-14,2022,Regular,R,Marjorie Taylor Greene,H0GA06192,11,10246640.53,12588124.11,12588124.11
H,HI,HI-01,2022,Regular,D,Ed Case,H2HI02128,11,843757.80,1058273.57,1058273.57
H,HI,HI-01,2022,Regular,R,Conrad Kress,H2HI02557,7,45288.88,82409.58,82409.58
H,HI,HI-02,2022,Regular,D,Jill Tokuda,H2HI02581,6,527719.83,1042387.26,1042387.26
H,HI,HI-02,2022,Regular,R,Joe Akana,H0HI02213,11,43850.60,71641.86,71641.86
H,IA,IA-01,2022,Regular,D,Christina Bohannan,H2IA02111,9,1847030.60,3197822.62,3197822.62
H,IA,IA-01,2022,Regular,R,Mariannette Miller-Meeks,H8IA02043,11,3262815.25,4911923.34,4911923.34
H,IA,IA-02,2022,Regular,D,Liz Mathis,H2IA01089,9,2632654.24,4218654.84,4218654.84
H,IA,IA-03,2022,Regular,D,Cynthia Axne,H8IA03124,11,4794934.91,7231695.00,7231695.0
H,IA,IA-03,2022,Regular,R,Zach Nunn,H2IA03119,15,1142550.03,2632979.16,2633465.87
H,IA,IA-04,2022,Regular,D,Ryan Melton,H2IA04141,7,11565.77,53023.28,53023.28
H,IA,IA-04,2022,Regular,R,Randy Feenstra,H0IA04145,11,2062517.98,2886169.99,2886169.99
H,ID,ID-01,2022,Regular,D,Kaylee Peterson,H2ID01192,5,21125.00,69848.28,69848.28
