year,type,location,race,pollster_id,pollster,partisan,methodology,date,days,sample,poll_margin,actual_margin,error,oriented
2008,G,NC,2008_Gov-G_NC,325,SurveyUSA,,IVR,2008-10-19,16,627,3.0,-3.4,6.4,1
2008,G,NC,2008_Gov-G_NC,334,The Tyson Group,,Live Phone,2008-10-19,16,600,-0.0,-3.4,3.4,1
2008,G,NC,2008_Gov-G_NC,196,Marshall Marketing,,IVR,2008-10-20,15,500,-0.4,-3.4,3.0,1
2008,G,NC,2008_Gov-G_NC,197,Mason-Dixon Polling & Strategy,,Live Phone,2008-10-23,12,800,-2.0,-3.4,1.4,1
2008,G,NC,2008_Gov-G_NC,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-10-23,12,700,4.0,-3.4,7.4,1
2008,G,NC,2008_Gov-G_NC,115,GfK Group,,Live Phone,2008-10-24,11,601,-0.0,-3.4,3.4,1
2008,G,NC,2008_Gov-G_NC,263,Public Policy Polling,,IVR,2008-10-25,10,1038,-3.0,-3.4,0.4,1
2008,G,NC,2008_Gov-G_NC,334,The Tyson Group,,Live Phone,2008-10-28,7,600,-2.0,-3.4,1.4,1
2008,G,NC,2008_Gov-G_NC,263,Public Policy Polling,,IVR,2008-11-01,3,2100,-1.0,-3.4,2.4,1
2008,G,NC,2008_Gov-G_NC,325,SurveyUSA,,IVR,2008-11-01,3,682,-1.0,-3.4,2.4,1
2008,G,ND,2008_Gov-G_ND,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-09-08,57,500,40.0,50.91,-10.91,1
2008,G,ND,2008_Gov-G_ND,211,Minnesota State University Moorhead Public Affairs Institute,,NA,2008-10-07,28,606,55.0,50.91,4.09,1
2008,G,ND,2008_Gov-G_ND,69,DFM Research,D,Live Phone,2008-10-13,22,504,44.0,50.91,-6.91,1
2008,G,NH,2008_Gov-G_NH,9,American Research Group,,NA,2008-09-14,51,600,-31.0,-42.56,11.56,1
2008,G,NH,2008_Gov-G_NH,357,University of New Hampshire Survey Center,,Live Phone,2008-09-18,47,523,-49.0,-42.56,-6.44,1
2008,G,NH,2008_Gov-G_NH,323,Suffolk University,,NA,2008-09-23,42,600,-45.0,-42.56,-2.44,1
2008,G,NH,2008_Gov-G_NH,494,Saint Anselm College Survey Center,,NA,2008-09-27,38,823,-66.0,-42.56,-23.44,1
2008,G,NH,2008_Gov-G_NH,325,SurveyUSA,,NA,2008-10-04,31,647,-43.0,-42.56,-0.44,1
2008,G,NH,2008_Gov-G_NH,9,American Research Group,,NA,2008-10-07,28,600,-39.0,-42.56,3.56,1
2008,G,NH,2008_Gov-G_NH,357,University of New Hampshire Survey Center,,Live Phone,2008-10-20,15,725,-50.0,-42.56,-7.44,1
2008,G,NH,2008_Gov-G_NH,115,GfK Group,,Live Phone,2008-10-24,11,600,-56.0,-42.56,-13.44,1
2008,G,NH,2008_Gov-G_NH,357,University of New Hampshire Survey Center,,Live Phone,2008-10-25,10,698,-50.0,-42.56,-7.44,1
2008,G,NH,2008_Gov-G_NH,323,Suffolk University,,Live Phone,2008-10-28,7,600,-52.0,-42.56,-9.44,1
2008,G,NH,2008_Gov-G_NH,357,University of New Hampshire Survey Center,,Live Phone,2008-10-28,7,619,-51.0,-42.56,-8.44,1
2008,G,NH,2008_Gov-G_NH,9,American Research Group,,Live Phone,2008-10-29,6,600,-40.0,-42.56,2.56,1
2008,G,NH,2008_Gov-G_NH,325,SurveyUSA,,IVR,2008-10-29,6,682,-37.0,-42.56,5.56,1
2008,G,NH,2008_Gov-G_NH,357,University of New Hampshire Survey Center,,Live Phone,2008-11-01,3,831,-47.0,-42.56,-4.44,1
2008,G,PR,2008_Gov-G_PR,154,Ipsos,,Live Phone,2008-10-26,9,666,3.0,11.63,-8.63,0
2008,G,UT,2008_Gov-G_UT,70,Dan Jones & Associates,,NA,2008-09-10,55,601,64.0,57.91,6.09,1
2008,G,UT,2008_Gov-G_UT,197,Mason-Dixon Polling & Strategy,,Live Phone,2008-10-24,11,400,56.0,57.91,-1.91,1
2008,G,UT,2008_Gov-G_UT,70,Dan Jones & Associates,,Live Phone,2008-10-27,8,1205,61.0,57.91,3.09,1
2008,G,VT,2008_Gov-G_VT,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-10-06,29,500,14.0,31.64,-17.64,1
2008,G,WA,2008_Gov-G_WA,325,SurveyUSA,,NA,2008-09-06,59,658,1.0,-6.48,7.48,1
2008,G,WA,2008_Gov-G_WA,87,Elway Research,,NA,2008-09-07,58,225,-4.0,-6.48,2.48,1
2008,G,WA,2008_Gov-G_WA,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-09-10,55,500,6.0,-6.48,12.48,1
2008,G,WA,2008_Gov-G_WA,325,SurveyUSA,,NA,2008-09-21,44,682,-2.0,-6.48,4.48,1
2008,G,WA,2008_Gov-G_WA,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-10-02,33,700,-0.0,-6.48,6.48,1
2008,G,WA,2008_Gov-G_WA,325,SurveyUSA,,NA,2008-10-12,23,544,-1.0,-6.48,5.48,1
2008,G,WA,2008_Gov-G_WA,87,Elway Research,,Live Phone,2008-10-18,17,405,-12.0,-6.48,-5.52,1
2008,G,WA,2008_Gov-G_WA,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-10-22,13,500,-2.0,-6.48,4.48,1
2008,G,WA,2008_Gov-G_WA,364,University of Washington Center for Survey Research,,Live Phone,2008-10-22,13,600,-6.0,-6.48,0.48,1
2008,G,WA,2008_Gov-G_WA,325,SurveyUSA,,IVR,2008-10-26,9,630,-2.0,-6.48,4.48,1
2008,G,WA,2008_Gov-G_WA,364,University of Washington Center for Survey Research,,Live Phone,2008-10-29,6,387,-2.0,-6.48,4.48,1
2008,G,WA,2008_Gov-G_WA,325,SurveyUSA,,IVR,2008-11-01,3,663,-6.0,-6.48,0.48,1
2008,G,WV,2008_Gov-G_WV,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-10-20,15,500,-50.0,-44.08,-5.92,1
2008,G,WV,2008_Gov-G_WV,263,Public Policy Polling,,IVR,2008-10-29,6,2128,-42.0,-44.08,2.08,1
2008,GB,US,2008_House-G_US,37,Big Village,,Live Phone,2008-09-06,59,942,-3.0,-10.55,7.55,1
2008,GB,US,2008_House-G_US,112,Gallup,,Live Phone,2008-09-06,59,823,5.0,-10.55,15.55,1
2008,GB,US,2008_House-G_US,115,GfK Group,,NA,2008-09-07,58,1038,-5.0,-10.55,5.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-09-08,57,913,-7.0,-10.55,3.55,1
2008,GB,US,2008_House-G_US,126,GQR,D,Live Phone,2008-09-09,56,1038,-5.0,-10.55,5.55,1
2008,GB,US,2008_House-G_US,114,Lake Research Partners/The Tarrance Group,,NA,2008-09-09,56,1000,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,258,Princeton Survey Research Associates International,,Live Phone,2008-09-10,55,1038,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-09-11,54,906,-10.0,-10.55,0.55,1
2008,GB,US,2008_House-G_US,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-09-11,54,1038,-6.0,-10.55,4.55,1
2008,GB,US,2008_House-G_US,36,CBS News/The New York Times,,Live Phone,2008-09-14,51,712,-19.0,-10.55,-8.45,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-09-14,51,912,-5.0,-10.55,5.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-09-17,48,1038,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-09-18,47,1038,-7.0,-10.55,3.55,1
2008,GB,US,2008_House-G_US,37,Big Village,,Live Phone,2008-09-20,45,697,-14.0,-10.55,-3.45,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-09-20,45,903,-9.0,-10.55,1.55,1
2008,GB,US,2008_House-G_US,221,Hart Research Associates/Public Opinion Strategies,,NA,2008-09-21,44,1038,-13.0,-10.55,-2.45,1
2008,GB,US,2008_House-G_US,172,Los Angeles Times,,NA,2008-09-21,44,1038,-10.0,-10.55,0.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-09-23,42,914,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,114,Lake Research Partners/The Tarrance Group,,NA,2008-09-23,42,1000,-5.0,-10.55,5.55,1
2008,GB,US,2008_House-G_US,385,The Winston Group,R,Live Phone,2008-09-24,41,1000,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-09-26,39,901,-10.0,-10.55,0.55,1
2008,GB,US,2008_House-G_US,7,Abt Associates,,Live Phone,2008-09-28,37,1038,-10.0,-10.55,0.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-09-29,36,909,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,126,GQR,D,Live Phone,2008-09-29,36,1038,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,115,GfK Group,,NA,2008-09-29,36,1038,-13.0,-10.55,-2.45,1
2008,GB,US,2008_House-G_US,114,Lake Research Partners/The Tarrance Group,,NA,2008-10-01,34,1000,-12.0,-10.55,-1.45,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-02,33,909,-7.0,-10.55,3.55,1
2008,GB,US,2008_House-G_US,126,GQR,D,Live Phone,2008-10-03,32,1038,-13.0,-10.55,-2.45,1
2008,GB,US,2008_House-G_US,37,Big Village,,Live Phone,2008-10-04,31,694,-5.0,-10.55,5.55,1
2008,GB,US,2008_House-G_US,221,Hart Research Associates/Public Opinion Strategies,,Live Phone,2008-10-04,31,1038,-13.0,-10.55,-2.45,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-05,30,852,-6.0,-10.55,4.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-08,27,808,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,104,Opinion Dynamics,,Live Phone,2008-10-08,27,900,-5.0,-10.55,5.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-11,24,823,-11.0,-10.55,-0.45,1
2008,GB,US,2008_House-G_US,112,Gallup,,Live Phone,2008-10-11,24,1269,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,36,CBS News/The New York Times,,Live Phone,2008-10-12,23,699,-14.0,-10.55,-3.45,1
2008,GB,US,2008_House-G_US,114,Lake Research Partners/The Tarrance Group,,NA,2008-10-12,23,1000,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,172,Los Angeles Times,,NA,2008-10-12,23,1446,-6.0,-10.55,4.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-14,21,725,-6.0,-10.55,4.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-17,18,785,-5.0,-10.55,5.55,1
2008,GB,US,2008_House-G_US,115,GfK Group,,Live Phone,2008-10-18,17,800,-6.0,-10.55,4.55,1
2008,GB,US,2008_House-G_US,221,Hart Research Associates/Public Opinion Strategies,,Live Phone,2008-10-19,16,1038,-11.0,-10.55,-0.45,1
2008,GB,US,2008_House-G_US,114,Lake Research Partners/The Tarrance Group,,Live Phone,2008-10-19,16,1000,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-20,15,780,-6.0,-10.55,4.55,1
2008,GB,US,2008_House-G_US,36,CBS News/The New York Times,,Live Phone,2008-10-21,14,1038,-12.0,-10.55,-1.45,1
2008,GB,US,2008_House-G_US,385,The Winston Group,R,Live Phone,2008-10-22,13,1000,-10.0,-10.55,0.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-23,12,869,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,776,Scott Rasmussen (Rasmussen Reports),,IVR,2008-10-23,12,1038,-7.0,-10.55,3.55,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-26,9,800,-8.0,-10.55,2.55,1
2008,GB,US,2008_House-G_US,114,Lake Research Partners/The Tarrance Group,,Live Phone,2008-10-26,9,1038,-4.0,-10.55,6.55,1
2008,GB,US,2008_House-G_US,114,Lake Research Partners/The Tarrance Group,,Live Phone,2008-10-26,9,1000,-4.0,-10.55,6.55,1
2008,GB,US,2008_House-G_US,36,CBS News/The New York Times,,Live Phone,2008-10-27,8,1038,-12.0,-10.55,-1.45,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-10-29,6,870,-9.0,-10.55,1.55,1
2008,GB,US,2008_House-G_US,810,CBS News,,Live Phone,2008-10-30,5,1038,-9.0,-10.55,1.55,1
2008,GB,US,2008_House-G_US,37,Big Village,,Live Phone,2008-10-31,4,1038,-9.0,-10.55,1.55,1
2008,GB,US,2008_House-G_US,810,CBS News,,Live Phone,2008-10-31,4,257,-18.0,-10.55,-7.45,1
2008,GB,US,2008_House-G_US,812,FTI Consulting,,Live Phone,2008-11-01,3,1038,-5.0,-10.55,5.55,1
2008,GB,US,2008_House-G_US,112,Gallup,,Live Phone,2008-11-01,3,2458,-13.0,-10.55,-2.45,1
2008,GB,US,2008_House-G_US,221,Hart Research Associates/Public Opinion Strategies,,Live Phone,2008-11-01,3,1011,-12.0,-10.55,-1.45,1
2008,H,AK-1,2008_House-G_AK-1,92,Fairleigh Dickinson University,,NA,2008-09-19,46,601,-6.0,5.17,-11.17,1
2008,H,AK-1,2008_House-G_AK-1,155,Alaska Survey Research,,NA,2008-09-21,44,500,-5.0,5.17,-10.17,1
2008,H,AK-1,2008_House-G_AK-1,155,Alaska Survey Research,,Live Phone,2008-10-18,17,500,-8.0,5.17,-13.17,1
2008,H,AK-1,2008_House-G_AK-1,136,Hays Research Group,,Live Phone,2008-11-02,2,400,-6.3,5.17,-11.47,1
2008,H,AL-2,2008_House-G_AL-2,14,Impact Research,D,NA,2008-10-06,29,400,-1.0,-0.62,-0.38,1
2008,H,AL-2,2008_House-G_AL-2,126,GQR,D,Live Phone,2008-10-20,15,403,-7.0,-0.62,-6.38,1
2008,H,AL-5,2008_House-G_AL-5,14,Impact Research,D,NA,2008-10-13,22,400,-8.0,-3.58,-4.42,1
2008,H,AZ-3,2008_House-G_AZ-3,14,Impact Research,D,NA,2008-10-07,28,400,-1.0,12.01,-13.01,1
2008,H,CA-11,2008_House-G_CA-11,325,SurveyUSA,,IVR,2008-10-14,21,650,-11.0,-10.55,-0.45,1
2008,H,CA-4,2008_House-G_CA-4,367,SmithJohnson Opinion Research,R,Live Phone,2008-10-22,13,400,9.0,0.49,8.51,1
2008,H,CA-50,2008_House-G_CA-50,333,Tarrance Group,R,NA,2008-10-12,23,300,13.0,5.06,7.94,1
2008,H,CA-50,2008_House-G_CA-50,126,GQR,D,Live Phone,2008-10-13,22,400,2.0,5.06,-3.06,1
2008,H,CO-4,2008_House-G_CO-4,129,Grove Insight,D,NA,2008-09-09,56,400,-9.0,-12.39,3.39,1
2008,H,CT-2,2008_House-G_CT-2,347,University of Connecticut,R,NA,2008-09-25,40,374,-33.0,-29.23,-3.77,1
2008,H,CT-2,2008_House-G_CT-2,347,University of Connecticut,,NA,2008-09-25,40,477,-28.0,-29.23,1.23,1
2008,H,CT-4,2008_House-G_CT-4,93,Feldman Group,D,NA,2008-09-17,48,500,-0.0,-0.81,0.81,1
2008,H,CT-4,2008_House-G_CT-4,748,GreatBlue Research,,NA,2008-09-24,41,400,10.0,-0.81,10.81,1
2008,H,CT-4,2008_House-G_CT-4,347,University of Connecticut,R,NA,2008-09-25,40,400,21.0,-0.81,21.81,1
2008,H,CT-4,2008_House-G_CT-4,347,University of Connecticut,,NA,2008-10-12,23,501,-0.0,-0.81,0.81,1
2008,H,CT-4,2008_House-G_CT-4,325,SurveyUSA,,IVR,2008-10-13,22,602,-3.0,-0.81,-2.19,1
2008,H,DE-1,2008_House-G_DE-1,92,Fairleigh Dickinson University,,NA,2008-09-19,46,601,34.0,23.09,10.91,1
2008,H,DE-1,2008_House-G_DE-1,377,West Chester University,,NA,2008-10-07,28,429,38.9,23.09,15.81,1
2008,H,FL-10,2008_House-G_FL-10,14,Impact Research,D,NA,2008-09-09,56,500,17.0,21.36,-4.36,1
2008,H,FL-13,2008_House-G_FL-13,93,Feldman Group,D,NA,2008-09-22,43,400,4.0,18.05,-14.05,1
2008,H,FL-13,2008_House-G_FL-13,325,SurveyUSA,,NA,2008-09-30,35,591,16.0,18.05,-2.05,1
2008,H,FL-13,2008_House-G_FL-13,260,Public Opinion Strategies,R,NA,2008-10-01,34,400,16.0,18.05,-2.05,1
2008,H,FL-13,2008_House-G_FL-13,260,Public Opinion Strategies,R,NA,2008-10-08,27,400,20.0,18.05,1.95,1
2008,H,FL-16,2008_House-G_FL-16,333,Tarrance Group,R,NA,2008-09-07,58,300,-7.0,20.19,-27.19,1
2008,H,FL-16,2008_House-G_FL-16,333,Tarrance Group,R,NA,2008-10-09,26,300,-25.0,20.19,-45.19,1
2008,H,FL-16,2008_House-G_FL-16,333,Tarrance Group,R,Live Phone,2008-10-15,20,300,26.0,20.19,5.81,1
2008,H,FL-18,2008_House-G_FL-18,655,The McDonald Group,,NA,2008-09-29,36,300,13.0,15.74,-2.74,1
2008,H,FL-18,2008_House-G_FL-18,165,Lake Research Partners,D,Live Phone,2008-10-14,21,457,7.0,15.74,-8.74,1
2008,H,FL-21,2008_House-G_FL-21,655,The McDonald Group,,NA,2008-09-29,36,300,5.0,15.8,-10.8,1
2008,H,FL-21,2008_House-G_FL-21,98,Florida International University/Univision,,Live Phone,2008-10-16,19,410,14.0,15.8,-1.8,1
2008,H,FL-24,2008_House-G_FL-24,130,EMC Research,D,NA,2008-09-13,52,400,1.0,-16.09,17.09,1
2008,H,FL-24,2008_House-G_FL-24,126,GQR,D,Live Phone,2008-10-14,21,400,-23.0,-16.09,-6.91,1
2008,H,FL-25,2008_House-G_FL-25,655,The McDonald Group,,NA,2008-09-29,36,300,2.0,6.11,-4.11,1
2008,H,FL-25,2008_House-G_FL-25,203,McLaughlin & Associates,R,NA,2008-10-04,31,300,13.0,6.11,6.89,1
2008,H,FL-25,2008_House-G_FL-25,130,EMC Research,D,NA,2008-10-08,27,500,3.0,6.11,-3.11,1
2008,H,FL-8,2008_House-G_FL-8,664,The Kitchens Group,D,NA,2008-09-05,60,500,-4.0,-4.02,0.02,1
2008,H,FL-8,2008_House-G_FL-8,30,Benenson Strategy Group,D,Live Phone,2008-10-21,14,402,-11.0,-4.02,-6.98,1
2008,H,FL-9,2008_House-G_FL-9,214,Momentum Analysis,D,NA,2008-09-21,44,400,23.0,25.9,-2.9,1
2008,H,GA-8,2008_House-G_GA-8,205,Mellman Group,D,Live Phone,2008-10-19,16,400,-17.0,-14.49,-2.51,1
2008,H,GA-8,2008_House-G_GA-8,325,SurveyUSA,,IVR,2008-10-25,10,634,-4.0,-14.49,10.49,1
2008,H,IA-4,2008_House-G_IA-4,333,Tarrance Group,R,Live Phone,2008-10-22,13,300,22.0,21.13,0.87,1
2008,H,ID-1,2008_House-G_ID-1,134,Harstad Strategic Research,D,NA,2008-09-10,55,400,-5.0,-1.21,-3.79,1
2008,H,ID-1,2008_House-G_ID-1,128,Greg Smith & Associates,R,NA,2008-09-27,38,200,12.0,-1.21,13.21,1
2008,H,ID-1,2008_House-G_ID-1,134,Harstad Strategic Research,D,NA,2008-09-27,38,400,-6.0,-1.21,-4.79,1
2008,H,ID-1,2008_House-G_ID-1,325,SurveyUSA,,IVR,2008-10-18,17,613,-6.0,-1.21,-4.79,1
2008,H,ID-1,2008_House-G_ID-1,134,Harstad Strategic Research,D,Live Phone,2008-10-21,14,273,-7.0,-1.21,-5.79,1
2008,H,ID-2,2008_House-G_ID-2,134,Harstad Strategic Research,D,Live Phone,2008-10-21,14,230,44.0,42.0,2.0,1
2008,H,IL-10,2008_House-G_IL-10,203,McLaughlin & Associates,R,NA,2008-09-10,55,300,22.0,5.12,16.88,1
2008,H,IL-10,2008_House-G_IL-10,325,SurveyUSA,,NA,2008-10-04,31,623,-8.0,5.12,-13.12,1
2008,H,IL-10,2008_House-G_IL-10,232,"Normington, Petts & Associates",D,Live Phone,2008-10-15,20,400,6.0,5.12,0.88,1
2008,H,IL-11,2008_House-G_IL-11,14,Impact Research,D,NA,2008-09-15,50,400,-8.0,-23.92,15.92,1
2008,H,IL-11,2008_House-G_IL-11,260,Public Opinion Strategies,R,NA,2008-09-17,48,400,-2.0,-23.92,21.92,1
2008,H,IL-11,2008_House-G_IL-11,14,Impact Research,D,NA,2008-10-12,23,400,-19.0,-23.92,4.92,1
2008,H,IL-11,2008_House-G_IL-11,232,"Normington, Petts & Associates",D,Live Phone,2008-10-15,20,400,-21.0,-23.92,2.92,1
2008,H,IL-11,2008_House-G_IL-11,325,SurveyUSA,,IVR,2008-10-20,15,623,-13.0,-23.92,10.92,1
2008,H,IL-14,2008_House-GS_IL-14,118,Global Strategy Group,D,NA,2008-02-08,29,525,2.0,-5.06,7.06,1
2008,H,IL-14,2008_House-GS_IL-14,118,Global Strategy Group,D,Live Phone,2008-02-23,14,402,-4.0,-5.06,1.06,1
2008,H,IL-14,2008_House-GS_IL-14,203,McLaughlin & Associates,R,Live Phone,2008-03-01,7,550,2.0,-5.06,7.06,1
2008,H,IL-14,2008_House-GS_IL-14,325,SurveyUSA,,IVR,2008-03-03,5,517,-7.0,-5.06,-1.94,1
2008,H,IN-3,2008_House-G_IN-3,60,Cooper & Secrest,D,NA,2008-09-09,56,442,13.0,15.34,-2.34,1
2008,H,IN-3,2008_House-G_IN-3,60,Cooper & Secrest,D,NA,2008-10-06,29,503,5.0,15.34,-10.34,1
2008,H,IN-3,2008_House-G_IN-3,385,The Winston Group,R,Live Phone,2008-10-15,20,400,9.0,15.34,-6.34,1
2008,H,IN-3,2008_House-G_IN-3,142,Howey Politics/DePauw University,,Live Phone,2008-10-23,12,300,-3.0,15.34,-18.34,1
