year,pollster,start,end,sample,population,dem,rep
2018,Winston,2017-03-16,2017-03-17,1000,rv,44.0,44.0
2018,McLaughlin,2017-03-16,2017-03-20,1000,lv,42.9,44.6
2018,Marist College,2017-03-22,2017-03-27,906,rv,47.0,38.0
2018,PPP,2017-03-27,2017-03-28,677,rv,48.0,43.0
2018,Morning Consult,2017-03-30,2017-04-01,1995,rv,41.0,39.0
2018,Morning Consult,2017-04-06,2017-04-09,1988,rv,43.0,40.0
2018,YouGov,2017-04-10,2017-04-11,1330,rv,40.0,37.0
2018,Marist College,2017-04-11,2017-04-12,869,rv,45.0,38.0
2018,Morning Consult,2017-04-13,2017-04-15,1992,rv,40.0,40.0
2018,PPP,2017-04-17,2017-04-18,648,rv,47.0,41.0
2018,YouGov,2017-04-15,2017-04-18,1291,rv,38.0,32.0
2018,Gravis Marketing (2020 and earlier),2017-04-19,2017-04-20,1665,rv,47.0,42.0
2018,Hart/POS,2017-04-17,2017-04-20,759,rv,47.0,43.0
2018,McLaughlin,2017-04-20,2017-04-24,1000,lv,43.0,43.0
2018,Morning Consult,2017-04-20,2017-04-24,2032,rv,40.0,44.0
2018,Beacon/Shaw,2017-04-23,2017-04-25,1009,rv,47.0,42.0
2018,CNN/ORC,2017-04-22,2017-04-25,1009,a,50.0,41.0
2018,CNN/ORC,2017-04-22,2017-04-25,922,rv,49.0,41.0
2018,YouGov,2017-04-23,2017-04-25,1295,rv,39.0,34.0
2018,Morning Consult,2017-04-27,2017-04-30,1998,rv,41.0,41.0
2018,YouGov,2017-04-29,2017-05-02,1255,rv,38.0,35.0
2018,Morning Consult,2017-05-04,2017-05-06,1996,rv,42.0,36.0
2018,Quinnipiac,2017-05-04,2017-05-09,1078,rv,54.0,38.0
2018,YouGov,2017-05-06,2017-05-09,1287,rv,40.0,35.0
2018,Morning Consult,2017-05-09,2017-05-11,1731,rv,42.0,37.0
2018,Morning Consult,2017-05-12,2017-05-14,2001,rv,42.0,35.0
2018,PPP,2017-05-12,2017-05-14,692,rv,49.0,38.0
2018,YouGov,2017-05-13,2017-05-16,1298,rv,40.0,33.0
2018,Morning Consult,2017-05-18,2017-05-22,1938,rv,41.0,37.0
2018,Ipsos,2017-05-19,2017-05-23,405,rv,43.0,36.1
2018,Ipsos,2017-05-19,2017-05-23,499,a,37.7,32.5
2018,YouGov,2017-05-20,2017-05-23,1276,rv,38.0,36.0
2018,Ipsos,2017-05-20,2017-05-24,727,rv,43.2,36.0
2018,Ipsos,2017-05-20,2017-05-24,890,a,37.7,31.7
2018,Ipsos,2017-05-21,2017-05-25,1055,rv,42.4,35.6
2018,Ipsos,2017-05-21,2017-05-25,1283,a,38.2,31.9
2018,Ipsos,2017-05-21,2017-05-25,369,lv,40.0,35.0
2018,Ipsos,2017-05-22,2017-05-26,1554,rv,41.0,36.3
2018,Ipsos,2017-05-22,2017-05-26,1863,a,37.6,32.2
2018,Ipsos,2017-05-22,2017-05-26,591,lv,39.3,36.8
2018,Ipsos,2017-05-23,2017-05-27,1858,rv,41.6,35.5
2018,Ipsos,2017-05-23,2017-05-27,2210,a,38.5,31.7
2018,Ipsos,2017-05-23,2017-05-27,699,lv,40.2,36.0
2018,Ipsos,2017-05-24,2017-05-28,1785,rv,39.9,36.2
2018,Ipsos,2017-05-24,2017-05-28,2108,a,37.4,32.4
2018,Ipsos,2017-05-24,2017-05-28,667,lv,38.5,37.5
2018,Ipsos,2017-05-25,2017-05-29,1769,rv,39.9,35.7
2018,Ipsos,2017-05-25,2017-05-29,2073,a,37.8,32.4
2018,Ipsos,2017-05-25,2017-05-29,652,lv,37.3,38.1
2018,Ipsos,2017-05-26,2017-05-30,1792,rv,39.8,35.5
2018,Ipsos,2017-05-26,2017-05-30,2085,a,37.5,32.0
2018,Ipsos,2017-05-26,2017-05-30,655,lv,37.4,37.2
2018,Morning Consult,2017-05-25,2017-05-30,1991,rv,43.0,39.0
2018,YouGov,2017-05-27,2017-05-30,1269,rv,39.0,33.0
2018,Ipsos,2017-05-27,2017-05-31,1609,rv,40.4,34.7
2018,Ipsos,2017-05-27,2017-05-31,1872,a,37.3,31.8
2018,Ipsos,2017-05-27,2017-05-31,546,lv,37.4,35.4
2018,McLaughlin,2017-05-28,2017-05-31,1000,lv,43.4,43.6
2018,Ipsos,2017-05-28,2017-06-01,1587,rv,40.2,34.5
2018,Ipsos,2017-05-28,2017-06-01,1847,a,36.6,31.6
2018,Ipsos,2017-05-28,2017-06-01,528,lv,38.9,33.8
2018,Ipsos,2017-05-29,2017-06-02,1643,rv,41.2,33.7
2018,Ipsos,2017-05-29,2017-06-02,1910,a,37.7,30.5
2018,Ipsos,2017-05-29,2017-06-02,520,lv,38.5,31.4
2018,Morning Consult,2017-06-01,2017-06-02,1999,rv,42.0,39.0
2018,Ipsos,2017-05-30,2017-06-03,1818,rv,41.4,34.7
2018,Ipsos,2017-05-30,2017-06-03,2126,a,37.9,31.0
2018,Ipsos,2017-05-30,2017-06-03,575,lv,36.6,32.8
2018,Ipsos,2017-05-31,2017-06-04,2040,rv,42.2,33.9
2018,Ipsos,2017-05-31,2017-06-04,2420,a,38.7,30.6
2018,Ipsos,2017-05-31,2017-06-04,669,lv,38.5,32.3
2018,Greenberg Quinlan Rosner,2017-05-31,2017-06-05,1000,rv,50.0,40.0
2018,Greenberg Quinlan Rosner,2017-05-31,2017-06-05,673,lv,48.0,41.0
2018,Greenberg Quinlan Rosner,2017-05-31,2017-06-05,662,lv,48.0,42.0
2018,Greenberg Quinlan Rosner,2017-05-31,2017-06-05,741,lv,49.0,41.0
2018,Ipsos,2017-06-01,2017-06-05,2031,rv,42.3,33.7
2018,Ipsos,2017-06-01,2017-06-05,2410,a,38.8,30.4
2018,Ipsos,2017-06-01,2017-06-05,663,lv,38.7,32.6
2018,Ipsos,2017-06-02,2017-06-06,1983,rv,42.8,33.5
2018,Ipsos,2017-06-02,2017-06-06,2371,a,38.9,30.4
2018,Ipsos,2017-06-02,2017-06-06,653,lv,37.0,33.0
2018,Quinnipiac,2017-05-31,2017-06-06,1361,rv,51.0,39.0
2018,YouGov,2017-06-04,2017-06-06,1288,rv,41.0,37.0
2018,Ipsos,2017-06-03,2017-06-07,1903,rv,42.8,33.4
2018,Ipsos,2017-06-03,2017-06-07,2260,a,38.9,30.5
2018,Ipsos,2017-06-03,2017-06-07,652,lv,38.5,33.5
2018,Ipsos,2017-06-04,2017-06-08,1666,rv,43.0,32.8
2018,Ipsos,2017-06-04,2017-06-08,1968,a,39.0,29.8
2018,Ipsos,2017-06-04,2017-06-08,576,lv,41.2,33.2
2018,Ipsos,2017-06-05,2017-06-09,1303,rv,44.0,32.1
2018,Ipsos,2017-06-05,2017-06-09,1520,a,40.2,29.0
2018,Ipsos,2017-06-05,2017-06-09,452,lv,41.1,34.7
2018,Ipsos,2017-06-06,2017-06-10,1231,rv,44.5,32.7
2018,Ipsos,2017-06-06,2017-06-10,1449,a,40.6,29.4
2018,Ipsos,2017-06-06,2017-06-10,415,lv,42.0,35.3
2018,Ipsos,2017-06-07,2017-06-11,1232,rv,44.7,33.2
2018,Ipsos,2017-06-07,2017-06-11,1449,a,41.4,29.7
2018,Ipsos,2017-06-07,2017-06-11,412,lv,43.0,36.9
2018,PPP,2017-06-09,2017-06-11,811,rv,50.0,40.0
2018,Ipsos,2017-06-08,2017-06-12,1239,rv,43.8,34.5
2018,Ipsos,2017-06-08,2017-06-12,1451,a,40.9,30.9
2018,Ipsos,2017-06-08,2017-06-12,383,lv,42.0,38.0
2018,Morning Consult,2017-06-08,2017-06-12,1990,rv,42.0,39.0
2018,Ipsos,2017-06-09,2017-06-13,1263,rv,42.7,35.3
2018,Ipsos,2017-06-09,2017-06-13,1495,a,39.9,31.7
2018,Ipsos,2017-06-09,2017-06-13,383,lv,39.0,40.0
2018,YouGov,2017-06-11,2017-06-13,1310,rv,38.0,36.0
2018,Ipsos,2017-06-10,2017-06-14,1328,rv,42.3,36.9
2018,Ipsos,2017-06-10,2017-06-14,1574,a,39.0,33.2
2018,Ipsos,2017-06-10,2017-06-14,398,lv,39.0,40.0
2018,Ipsos,2017-06-11,2017-06-15,1372,rv,42.4,35.4
2018,Ipsos,2017-06-11,2017-06-15,1613,a,39.0,32.2
2018,Ipsos,2017-06-11,2017-06-15,402,lv,38.0,40.0
2018,Ipsos,2017-06-12,2017-06-16,1368,rv,43.3,35.9
2018,Ipsos,2017-06-12,2017-06-16,1620,a,39.4,32.4
2018,Ipsos,2017-06-12,2017-06-16,402,lv,39.0,39.0
2018,Ipsos,2017-06-13,2017-06-17,1318,rv,44.6,33.3
2018,Ipsos,2017-06-13,2017-06-17,1586,a,40.5,30.1
2018,Ipsos,2017-06-13,2017-06-17,396,lv,43.0,36.0
2018,Ipsos,2017-06-14,2017-06-18,1300,rv,45.0,32.2
2018,Ipsos,2017-06-14,2017-06-18,1567,a,40.6,29.3
2018,Ipsos,2017-06-14,2017-06-18,390,lv,45.0,34.0
2018,Ipsos,2017-06-15,2017-06-19,1285,rv,45.4,31.2
2018,Ipsos,2017-06-15,2017-06-19,1551,a,41.6,28.5
2018,Ipsos,2017-06-15,2017-06-19,394,lv,46.0,30.0
2018,Morning Consult,2017-06-15,2017-06-19,2051,rv,43.0,37.0
2018,Hart/POS,2017-06-17,2017-06-20,765,rv,50.0,42.0
2018,Ipsos,2017-06-16,2017-06-20,1273,rv,45.2,32.5
2018,Ipsos,2017-06-16,2017-06-20,1544,a,41.2,29.3
2018,Ipsos,2017-06-16,2017-06-20,417,lv,46.0,30.8
2018,YouGov,2017-06-18,2017-06-20,1277,rv,38.0,35.0
2018,Ipsos,2017-06-17,2017-06-21,1277,rv,43.2,34.1
2018,Ipsos,2017-06-17,2017-06-21,1533,a,39.9,30.6
2018,Ipsos,2017-06-17,2017-06-21,417,lv,41.0,35.9
2018,Ipsos,2017-06-18,2017-06-22,1293,rv,43.2,34.0
2018,Ipsos,2017-06-18,2017-06-22,1561,a,39.4,30.0
2018,Ipsos,2017-06-18,2017-06-22,435,lv,41.0,34.5
2018,Ipsos,2017-06-19,2017-06-23,1321,rv,42.4,33.8
2018,Ipsos,2017-06-19,2017-06-23,1589,a,38.5,29.5
2018,Ipsos,2017-06-19,2017-06-23,473,lv,38.4,34.9
2018,Ipsos,2017-06-20,2017-06-24,1311,rv,41.1,33.5
2018,Ipsos,2017-06-20,2017-06-24,1580,a,37.3,29.1
2018,Ipsos,2017-06-20,2017-06-24,500,lv,36.9,35.4
2018,Morning Consult,2017-06-22,2017-06-24,1994,rv,42.0,40.0
2018,Ipsos,2017-06-21,2017-06-25,1308,rv,41.5,33.0
2018,Ipsos,2017-06-21,2017-06-25,1576,a,37.6,28.9
2018,Ipsos,2017-06-21,2017-06-25,501,lv,37.4,35.6
2018,Marist College,2017-06-21,2017-06-25,995,rv,48.0,38.0
2018,Ipsos,2017-06-22,2017-06-26,1314,rv,42.7,31.5
2018,Ipsos,2017-06-22,2017-06-26,1587,a,38.6,27.7
2018,Ipsos,2017-06-22,2017-06-26,501,lv,39.1,33.6
2018,Beacon/Shaw,2017-06-25,2017-06-27,1017,rv,47.0,41.0
2018,Ipsos,2017-06-23,2017-06-27,1348,rv,41.8,32.4
2018,Ipsos,2017-06-23,2017-06-27,1621,a,37.1,28.3
2018,Ipsos,2017-06-23,2017-06-27,537,lv,36.8,36.0
2018,Quinnipiac,2017-06-22,2017-06-27,1212,rv,51.0,41.0
2018,YouGov,2017-06-25,2017-06-27,1295,rv,41.0,35.0
2018,Ipsos,2017-06-24,2017-06-28,1362,rv,42.1,33.5
2018,Ipsos,2017-06-24,2017-06-28,1623,a,37.1,29.4
2018,Ipsos,2017-06-24,2017-06-28,543,lv,40.2,34.3
2018,Ipsos,2017-06-25,2017-06-29,1336,rv,42.5,33.0
2018,Ipsos,2017-06-25,2017-06-29,1592,a,37.1,29.3
2018,Ipsos,2017-06-25,2017-06-29,503,lv,40.9,32.9
2018,Ipsos,2017-06-26,2017-06-30,1411,rv,41.5,34.1
2018,Ipsos,2017-06-26,2017-06-30,1660,a,36.6,30.2
2018,Ipsos,2017-06-26,2017-06-30,530,lv,41.1,33.4
2018,Morning Consult,2017-06-29,2017-06-30,1989,rv,43.0,39.0
2018,Ipsos,2017-06-27,2017-07-01,1409,rv,39.7,35.2
2018,Ipsos,2017-06-27,2017-07-01,1659,a,35.3,30.8
2018,Ipsos,2017-06-27,2017-07-01,516,lv,39.3,34.6
2018,Ipsos,2017-06-28,2017-07-02,1378,rv,40.3,35.3
2018,Ipsos,2017-06-28,2017-07-02,1614,a,37.1,31.2
2018,Ipsos,2017-06-28,2017-07-02,480,lv,42.1,34.0
2018,Ipsos,2017-06-29,2017-07-03,1318,rv,41.6,35.8
2018,Ipsos,2017-06-29,2017-07-03,1558,a,38.0,31.4
2018,Ipsos,2017-06-29,2017-07-03,406,lv,40.0,34.9
2018,Ipsos,2017-06-30,2017-07-04,1369,rv,42.3,36.1
2018,Ipsos,2017-06-30,2017-07-04,1600,a,39.7,31.8
2018,Ipsos,2017-06-30,2017-07-04,450,lv,42.9,35.6
2018,YouGov,2017-07-03,2017-07-04,1323,rv,37.0,35.0
2018,Ipsos,2017-07-01,2017-07-05,1298,rv,43.3,36.2
2018,Ipsos,2017-07-01,2017-07-05,1535,a,40.1,31.6
2018,Ipsos,2017-07-01,2017-07-05,404,lv,43.0,35.1
2018,Ipsos,2017-07-02,2017-07-06,1330,rv,43.5,35.4
2018,Ipsos,2017-07-02,2017-07-06,1554,a,40.6,31.0
2018,Ipsos,2017-07-02,2017-07-06,443,lv,43.0,32.8
2018,Winston,2017-07-05,2017-07-06,1000,rv,44.0,44.0
2018,Ipsos,2017-07-03,2017-07-07,1337,rv,43.8,34.2
2018,Ipsos,2017-07-03,2017-07-07,1563,a,39.6,30.2
2018,Ipsos,2017-07-03,2017-07-07,466,lv,40.4,31.2
2018,Ipsos,2017-07-04,2017-07-08,1357,rv,42.8,34.6
2018,Ipsos,2017-07-04,2017-07-08,1581,a,39.0,30.4
2018,Ipsos,2017-07-04,2017-07-08,526,lv,41.5,33.1
2018,Ipsos,2017-07-05,2017-07-09,1341,rv,42.3,33.6
2018,Ipsos,2017-07-05,2017-07-09,1568,a,38.6,29.4
2018,Ipsos,2017-07-05,2017-07-09,491,lv,41.9,31.9
2018,Morning Consult,2017-07-07,2017-07-09,1983,rv,43.0,40.0
2018,Pew,2017-06-27,2017-07-09,2505,a,53.0,40.0
2018,Ipsos,2017-07-06,2017-07-10,1334,rv,41.9,33.1
2018,Ipsos,2017-07-06,2017-07-10,1560,a,38.2,29.2
2018,Ipsos,2017-07-06,2017-07-10,482,lv,40.5,33.6
2018,Ipsos,2017-07-07,2017-07-11,1306,rv,41.9,32.9
2018,Ipsos,2017-07-07,2017-07-11,1534,a,38.8,29.3
2018,Ipsos,2017-07-07,2017-07-11,464,lv,40.9,34.7
2018,YouGov,2017-07-09,2017-07-11,1284,rv,39.0,32.0
2018,Ipsos,2017-07-08,2017-07-12,1316,rv,40.3,33.6
2018,Ipsos,2017-07-08,2017-07-12,1548,a,38.2,29.7
2018,Ipsos,2017-07-08,2017-07-12,455,lv,38.6,36.0
2018,ABC/Washington Post,2017-07-10,2017-07-13,859,rv,52.0,38.0
2018,Ipsos,2017-07-09,2017-07-13,1311,rv,39.0,33.8
2018,Ipsos,2017-07-09,2017-07-13,1565,a,36.4,29.7
2018,Ipsos,2017-07-09,2017-07-13,427,lv,34.9,35.2
2018,Ipsos,2017-07-10,2017-07-14,1275,rv,39.5,33.5
2018,Ipsos,2017-07-10,2017-07-14,1544,a,36.5,29.8
2018,Ipsos,2017-07-10,2017-07-14,397,lv,32.4,36.0
2018,Ipsos,2017-07-11,2017-07-15,1246,rv,39.6,33.8
2018,Ipsos,2017-07-11,2017-07-15,1522,a,36.2,29.6
2018,Ipsos,2017-07-11,2017-07-15,402,lv,31.5,35.5
2018,Morning Consult,2017-07-13,2017-07-15,1994,rv,42.0,40.0
2018,Ipsos,2017-07-12,2017-07-16,1218,rv,39.7,35.5
2018,Ipsos,2017-07-12,2017-07-16,1496,a,36.1,30.6
2018,Ipsos,2017-07-12,2017-07-16,383,lv,29.6,37.0
2018,Ipsos,2017-07-13,2017-07-17,1194,rv,41.9,34.9
2018,Ipsos,2017-07-13,2017-07-17,1474,a,37.7,30.2
2018,Ipsos,2017-07-13,2017-07-17,366,lv,34.0,36.0
2018,PPP,2017-07-14,2017-07-17,836,rv,50.0,40.0
2018,Ipsos,2017-07-14,2017-07-18,1213,rv,41.9,34.9
2018,Ipsos,2017-07-14,2017-07-18,1473,a,38.9,30.4
2018,Ipsos,2017-07-14,2017-07-18,401,lv,37.0,34.1
2018,YouGov,2017-07-15,2017-07-18,1273,rv,40.0,34.0
2018,Ipsos,2017-07-15,2017-07-19,1265,rv,39.4,35.7
2018,Ipsos,2017-07-15,2017-07-19,1505,a,36.8,30.8
2018,Ipsos,2017-07-15,2017-07-19,444,lv,37.6,34.6
2018,Ipsos,2017-07-16,2017-07-20,1309,rv,39.3,35.7
2018,Ipsos,2017-07-16,2017-07-20,1544,a,36.9,30.8
2018,Ipsos,2017-07-16,2017-07-20,470,lv,38.1,36.4
2018,Ipsos,2017-07-17,2017-07-21,1332,rv,38.1,34.5
2018,Ipsos,2017-07-17,2017-07-21,1574,a,35.1,30.1
2018,Ipsos,2017-07-17,2017-07-21,416,lv,38.8,35.3
2018,Ipsos,2017-07-18,2017-07-22,1349,rv,37.8,33.5
2018,Ipsos,2017-07-18,2017-07-22,1585,a,34.8,29.4
2018,Ipsos,2017-07-19,2017-07-23,1296,rv,37.7,34.9
2018,Ipsos,2017-07-19,2017-07-23,1536,a,34.6,30.5
2018,Ipsos,2017-07-20,2017-07-24,1276,rv,40.7,34.0
2018,Ipsos,2017-07-20,2017-07-24,1541,a,36.9,29.6
2018,Morning Consult,2017-07-20,2017-07-24,3981,rv,40.0,40.0
2018,Ipsos,2017-07-21,2017-07-25,1265,rv,40.7,33.9
2018,Ipsos,2017-07-21,2017-07-25,1532,a,37.1,30.4
2018,YouGov,2017-07-23,2017-07-25,1270,rv,40.0,34.0
2018,Ipsos,2017-07-22,2017-07-26,1241,rv,43.1,33.1
2018,Ipsos,2017-07-22,2017-07-26,1513,a,39.1,29.5
2018,Ipsos,2017-07-23,2017-07-27,1804,rv,42.5,34.0
2018,Ipsos,2017-07-23,2017-07-27,2190,a,39.0,30.1
2018,Ipsos,2017-07-24,2017-07-28,2835,rv,43.9,32.4
2018,Ipsos,2017-07-24,2017-07-28,3412,a,39.8,28.9
2018,Ipsos,2017-07-25,2017-07-29,3119,rv,42.9,32.6
2018,Ipsos,2017-07-25,2017-07-29,3709,a,38.9,29.1
2018,Morning Consult,2017-07-27,2017-07-29,1972,rv,44.0,37.0
2018,Ipsos,2017-07-26,2017-07-30,3128,rv,42.8,32.4
2018,Ipsos,2017-07-26,2017-07-30,3731,a,39.0,28.7
2018,Gravis Marketing (2020 and earlier),2017-07-21,2017-07-31,1917,a,46.0,40.0
2018,Ipsos,2017-07-27,2017-07-31,3178,rv,42.3,33.3
2018,Ipsos,2017-07-27,2017-07-31,3797,a,38.3,29.6
2018,Ipsos,2017-07-28,2017-08-01,2614,rv,42.5,33.4
2018,Ipsos,2017-07-28,2017-08-01,3132,a,38.2,29.8
2018,Quinnipiac,2017-07-27,2017-08-01,1125,rv,52.0,38.0
2018,YouGov,2017-07-31,2017-08-01,1329,rv,39.0,34.0
2018,Ipsos,2017-07-29,2017-08-02,1685,rv,40.8,34.0
2018,Ipsos,2017-07-29,2017-08-02,2016,a,37.0,30.1
2018,Ipsos,2017-07-30,2017-08-03,1372,rv,39.6,34.4
2018,Ipsos,2017-07-30,2017-08-03,1683,a,36.1,30.1
2018,Ipsos,2017-07-31,2017-08-04,1372,rv,40.2,35.4
2018,Ipsos,2017-07-31,2017-08-04,1660,a,36.1,30.8
2018,Ipsos,2017-08-01,2017-08-05,1340,rv,42.0,34.1
2018,Ipsos,2017-08-01,2017-08-05,1601,a,38.0,29.7
2018,CNN/SSRS,2017-08-03,2017-08-06,921,rv,51.0,42.0
2018,CNN/SSRS,2017-08-03,2017-08-06,1018,a,51.0,40.0
2018,Ipsos,2017-08-02,2017-08-06,1343,rv,42.4,32.4
2018,Ipsos,2017-08-02,2017-08-06,1588,a,38.7,28.7
2018,Morning Consult,2017-08-03,2017-08-06,1992,rv,43.0,36.0
2018,Ipsos,2017-08-03,2017-08-07,1354,rv,42.4,33.0
2018,Ipsos,2017-08-03,2017-08-07,1605,a,38.8,29.2
2018,Ipsos,2017-08-04,2017-08-08,1431,rv,45.0,33.3
2018,Ipsos,2017-08-04,2017-08-08,1674,a,40.8,29.3
2018,YouGov,2017-08-06,2017-08-08,1303,rv,39.0,34.0
2018,Ipsos,2017-08-05,2017-08-09,1447,rv,44.2,33.2
2018,Ipsos,2017-08-05,2017-08-09,1707,a,40.5,29.2
2018,Ipsos,2017-08-06,2017-08-10,1473,rv,42.6,33.4
2018,Ipsos,2017-08-06,2017-08-10,1732,a,39.2,29.4
2018,Ipsos,2017-08-07,2017-08-11,1515,rv,42.4,34.2
2018,Ipsos,2017-08-07,2017-08-11,1768,a,38.8,29.8
2018,Ipsos,2017-08-08,2017-08-12,1455,rv,42.2,33.5
2018,Ipsos,2017-08-08,2017-08-12,1690,a,37.8,29.6
2018,Marist College,2017-08-08,2017-08-12,883,rv,47.0,40.0
2018,Ipsos,2017-08-09,2017-08-13,1394,rv,42.0,32.9
2018,Ipsos,2017-08-09,2017-08-13,1631,a,37.1,29.1
2018,Ipsos,2017-08-10,2017-08-14,1372,rv,43.3,32.0
2018,Ipsos,2017-08-10,2017-08-14,1606,a,37.9,28.6
2018,Morning Consult,2017-08-10,2017-08-14,1997,rv,40.0,38.0
2018,Ipsos,2017-08-11,2017-08-15,1362,rv,43.2,31.7
2018,Ipsos,2017-08-11,2017-08-15,1590,a,37.6,28.7
2018,Quinnipiac,2017-08-09,2017-08-15,1361,rv,50.0,40.0
2018,YouGov,2017-08-13,2017-08-15,1282,rv,41.0,33.0
2018,Ipsos,2017-08-12,2017-08-16,1685,rv,43.8,30.6
2018,Ipsos,2017-08-12,2017-08-16,2020,a,38.4,27.8
2018,Ipsos,2017-08-13,2017-08-17,1945,rv,43.6,31.7
2018,Ipsos,2017-08-13,2017-08-17,2342,a,38.6,28.3
2018,Lake Research Partners/The Tarrance Group,2017-08-13,2017-08-17,1000,rv,46.0,40.0
2018,Ipsos,2017-08-14,2017-08-18,2276,rv,41.8,32.2
2018,Ipsos,2017-08-14,2017-08-18,2753,a,37.6,28.6
2018,Ipsos,2017-08-15,2017-08-19,2595,rv,41.4,33.1
2018,Ipsos,2017-08-15,2017-08-19,3143,a,37.6,29.0
2018,Morning Consult,2017-08-17,2017-08-19,1987,rv,41.0,36.0
2018,Ipsos,2017-08-16,2017-08-20,2829,rv,41.8,33.0
2018,Ipsos,2017-08-16,2017-08-20,3447,a,37.9,29.0
2018,Ipsos,2017-08-17,2017-08-21,2491,rv,40.7,33.8
2018,Ipsos,2017-08-17,2017-08-21,3032,a,37.0,29.3
2018,PPP,2017-08-18,2017-08-21,887,rv,49.0,35.0
2018,Ipsos,2017-08-18,2017-08-22,2264,rv,40.3,33.9
2018,Ipsos,2017-08-18,2017-08-22,2749,a,37.1,29.1
2018,Quinnipiac,2017-08-17,2017-08-22,1514,rv,50.0,38.0
2018,YouGov,2017-08-20,2017-08-22,1316,rv,39.0,33.0
2018,Ipsos,2017-08-19,2017-08-23,2005,rv,41.0,33.9
2018,Ipsos,2017-08-19,2017-08-23,2419,a,37.4,29.3
2018,Ipsos,2017-08-20,2017-08-24,1732,rv,40.9,33.8
2018,Ipsos,2017-08-20,2017-08-24,2086,a,37.2,29.3
2018,Ipsos,2017-08-21,2017-08-25,1612,rv,42.4,33.7
2018,Ipsos,2017-08-21,2017-08-25,1918,a,38.9,29.5
2018,Ipsos,2017-08-22,2017-08-26,1352,rv,42.6,33.9
2018,Ipsos,2017-08-22,2017-08-26,1596,a,39.6,29.9
2018,Ipsos,2017-08-23,2017-08-27,1065,rv,43.5,32.5
2018,Ipsos,2017-08-23,2017-08-27,1261,a,39.8,29.3
2018,Ipsos,2017-08-24,2017-08-28,1513,rv,41.3,35.0
2018,Ipsos,2017-08-24,2017-08-28,1795,a,37.7,30.4
2018,McLaughlin,2017-08-24,2017-08-28,1000,lv,44.2,44.2
2018,Morning Consult,2017-08-24,2017-08-28,1999,rv,40.0,36.0
2018,Ipsos,2017-08-25,2017-08-29,1480,rv,40.5,33.8
2018,Ipsos,2017-08-25,2017-08-29,1768,a,37.0,29.6
2018,YouGov,2017-08-27,2017-08-29,1278,rv,40.0,32.0
2018,Ipsos,2017-08-26,2017-08-30,1397,rv,38.4,35.4
2018,Ipsos,2017-08-26,2017-08-30,1667,a,35.6,30.4
2018,Winston,2017-08-29,2017-08-30,1000,rv,44.0,44.0
2018,Ipsos,2017-08-27,2017-08-31,1717,rv,38.7,36.0
2018,Ipsos,2017-08-27,2017-08-31,2060,a,35.8,31.5
2018,Ipsos,2017-08-28,2017-09-01,1999,rv,39.8,35.7
2018,Ipsos,2017-08-28,2017-09-01,2383,a,36.8,31.3
2018,Ipsos,2017-08-29,2017-09-02,1530,rv,40.9,36.0
