Pollster,Date,Sample,Dem,Rep,Diff
Financial Times,5/29 - 6/1,1537 RV,48,43,-5
Harvard-Harris,5/29 - 5/31,LV,52,48,-4
Economist/YouGov,5/29 - 6/1,1453 RV,46,42,-4
Forbes/HarrisX,5/20 - 6/7,1137 LV,46,45,-1
I&I/TIPP,5/26 - 5/28,1332 RV,46,41,-5
Big Data Poll,5/24 - 5/27,2784 LV,51,38,-13
Marquette,5/20 - 5/26,576 LV,49,48,-1
Emerson,5/24 - 5/25,1000 LV,50,41,-9
Economist/YouGov,5/22 - 5/26,1397 RV,46,41,-5
Reuters/Ipsos,5/15 - 5/18,984 RV,39,38,-1
Economist/YouGov,5/15 - 5/18,1380 RV,46,43,-3
Rasmussen Reports,5/13 - 5/20,2161 LV,47,41,-6
Data for Progress**,5/15 - 5/18,1149 LV,51,43,-8
Quinnipiac,5/14 - 5/18,1106 RV,50,39,-11
Morning Consult,5/15 - 5/17,2203 RV,47,41,-6
CBS News,5/13 - 5/15,1397 RV,45,40,-5
Echelon Insights**,5/14 - 5/18,1008 LV,51,43,-8
Wall Street Journal,5/7 - 5/18,1500 RV,48,40,-8
New York Times,5/11 - 5/15,1507 RV,50,39,-11
Economist/YouGov,5/9 - 5/11,1410 RV,45,40,-5
Reuters/Ipsos,5/8 - 5/11,993 RV,41,35,-6
Atlas Intel,5/4 - 5/7,2069 A,55,40,-15
Cygnal,5/5 - 5/6,1500 LV,49,42,-7
RMG Research**,5/4 - 5/6,2000 RV,50,41,-9
Financial Times,5/1 - 5/5,3167 RV,52,44,-8
Economist/YouGov,5/1 - 5/4,1409 RV,44,41,-3
CNN,4/30 - 5/4,RV,45,42,-3
Forbes/HarrisX,4/29 - 5/5,1891 LV,48,46,-2
Morning Consult,4/30 - 5/3,2200 RV,46,43,-3
NPR/PBS/Marist,4/27 - 4/30,1155 RV,52,42,-10
Big Data Poll,4/25 - 4/28,2874 LV,50,39,-11
ABC/Wash Post/Ipsos,4/24 - 4/28,2059 RV,49,44,-5
Economist/YouGov,4/24 - 4/27,1647 RV,46,41,-5
Morning Consult,4/24 - 4/27,2201 RV,45,42,-3
Reuters/Ipsos,4/24 - 4/27,1014 RV,41,37,-4
Emerson,4/24 - 4/26,1000 LV,50,40,-10
Harvard-Harris,4/23 - 4/26,LV,50,50,0
Quantus Insights,4/21 - 4/23,1452 LV,47,42,-5
FOX News,4/17 - 4/20,1001 RV,52,47,-5
Echelon Insights**,4/17 - 4/20,1012 LV,50,44,-6
CNBC,4/15 - 4/19,1000 RV,49,45,-4
Morning Consult,4/17 - 4/20,2203 RV,45,42,-3
Economist/YouGov,4/17 - 4/20,1553 RV,45,40,-5
Reuters/Ipsos,4/15 - 4/20,3577 RV,41,38,-3
Marquette,4/8 - 4/16,LV,53,43,-10
Economist/YouGov,4/10 - 4/13,1573 RV,45,40,-5
RMG Research**,4/6 - 4/9,2000 RV,49,44,-5
Economist/YouGov,4/3 - 4/6,1560 RV,44,42,-2
Morning Consult,4/3 - 4/5,2200 RV,45,42,-3
Cygnal,4/2 - 4/3,1500 LV,49,43,-6
Economist/YouGov,3/27 - 3/30,1505 RV,45,39,-6
Morning Consult,3/27 - 3/29,2203 RV,45,42,-3
CNN,3/26 - 3/30,952 RV,48,42,-6
Harvard-Harris,3/25 - 3/26,LV,52,48,-4
Quantus Insights,3/25 - 3/26,1472 LV,47,41,-6
Big Data Poll,3/22 - 3/24,3003 LV,48,40,-8
Reuters/Ipsos,3/20 - 3/23,985 RV,40,38,-2
Economist/YouGov,3/20 - 3/23,1502 RV,45,42,-3
Quinnipiac,3/19 - 3/23,1191 RV,51,40,-11
Rasmussen Reports,3/16 - 3/23,2222 LV,45,42,-3
Reuters/Ipsos,3/17 - 3/19,1206 RV,40,37,-3
Quantus Insights,3/17 - 3/18,1064 LV,47,42,-5
Emerson,3/16 - 3/17,1000 LV,49,42,-7
Morning Consult,3/13 - 3/16,2200 RV,48,40,-8
Economist/YouGov,3/13 - 3/16,1429 RV,43,41,-2
Yahoo News,3/12 - 3/16,1147 RV,44,40,-4
Economist/YouGov,3/6 - 3/9,1405 RV,45,42,-3
Morning Consult,3/6 - 3/8,2202 RV,47,43,-4
NPR/PBS/Marist,3/2 - 3/4,1392 RV,53,44,-9
Cygnal,3/3 - 3/4,1500 LV,49,45,-4
Quantus Insights,3/2 - 3/3,1624 LV,48,42,-6
RMG Research**,3/2 - 3/4,2000 RV,46,46,0
NBC News,2/27 - 3/3,1000 RV,50,44,-6
Economist/YouGov,2/27 - 3/2,1366 RV,45,41,-4
CBS News,2/25 - 2/27,2264 A,45,40,-5
Harvard-Harris,2/25 - 2/26,1999 RV,50,50,0
Emerson,2/21 - 2/22,1000 LV,50,42,-8
Economist/YouGov,2/20 - 2/23,1402 RV,45,41,-4
Morning Consult,2/20 - 2/22,2202 RV,46,42,-4
Reuters/Ipsos,2/18 - 2/23,3686 RV,40,38,-2
Big Data Poll,2/16 - 2/18,1805 LV,50,41,-9
ABC/Wash Post/Ipsos,2/12 - 2/17,2087 RV,47,45,-2
Economist/YouGov,2/13 - 2/16,1512 RV,47,40,-7
Reuters/Ipsos,2/13 - 2/16,866 RV,41,37,-4
Quantus Insights,2/13 - 2/13,1515 LV,48,42,-6
Yahoo News,2/9 - 2/12,1149 RV,44,41,-3
RMG Research**,2/9 - 2/12,2000 RV,45,47,2
Morning Consult,2/6 - 2/9,2200 RV,45,41,-4
Economist/YouGov,2/6 - 2/9,1551 RV,44,38,-6
Cygnal,2/3 - 2/4,1500 LV,48,44,-4
Economist/YouGov,1/30 - 2/2,1504 RV,44,40,-4
Morning Consult,1/30 - 2/1,2201 RV,47,42,-5
PPP,1/29 - 1/30,652 RV,48,41,-7
Harvard-Harris,1/28 - 1/29,2000 RV,52,48,-4
I&I/TIPP,1/27 - 1/29,1126 RV,45,42,-3
Cygnal,1/27 - 1/28,1004 LV,48,44,-4
Marquette,1/21 - 1/28,LV,52,45,-7
FOX News,1/23 - 1/26,1005 RV,52,46,-6
Economist/YouGov,1/23 - 1/26,1520 RV,43,38,-5
Morning Consult,1/23 - 1/25,2201 RV,45,43,-2
Reuters/Ipsos,1/23 - 1/25,906 RV,41,37,-4
Big Data Poll,1/22 - 1/24,2909 LV,48,44,-4
Quantus Insights,1/20 - 1/22,1000 RV,47,41,-6
Emerson,1/17 - 1/19,1000 LV,48,42,-6
Economist/YouGov,1/16 - 1/19,1549 RV,43,39,-4
Morning Consult,1/16 - 1/18,2201 RV,45,43,-2
NY Times/Siena,1/12 - 1/17,1625 RV,48,43,-5
Reuters/Ipsos,1/12 - 1/13,941 RV,40,38,-2
CNN,1/9 - 1/12,968 RV,46,41,-5
Rasmussen Reports,1/7 - 1/14,2273 LV,47,41,-6
Wall Street Journal,1/8 - 1/13,1500 RV,47,43,-4
Morning Consult,1/9 - 1/12,2201 RV,46,43,-3
Economist/YouGov,1/9 - 1/12,1437 RV,44,40,-4
Cygnal,1/7 - 1/8,1500 LV,48,45,-3
RMG Research**,1/5 - 1/8,2000 RV,47,46,-1
Economist/YouGov,1/2 - 1/5,1389 RV,45,39,-6
Morning Consult,1/2 - 1/4,2201 RV,45,42,-3
