year,office,state,race,pollster,partisan,start,end,sample,population,dem,rep,grade
2018,G,AL,Governor,SurveyMonkey,,2018-09-09,2018-09-24,1254,rv,26.0,51.0,2.0
2018,G,AR,Governor,Mason-Dixon,,2018-03-21,2018-03-24,625,rv,24.0,63.0,2.6
2018,G,AR,Governor,Hendrix College,,2018-09-05,2018-09-07,1701,lv,25.0,60.0,0.9
2018,G,AR,Governor,Hendrix College,,2018-10-18,2018-10-19,528,lv,24.0,60.0,0.9
2018,G,AR,Governor,U. of Arkansas,,2018-10-01,2018-10-28,618,lv,35.0,59.0,2.5
2018,G,AZ,Governor,PPP,D,2017-06-07,2017-06-08,1020,v,44.0,42.0,1.4
2018,G,AZ,Governor,PPP,D,2018-01-05,2018-01-07,735,v,43.0,42.0,1.4
2018,G,AZ,Governor,Gravis Marketing (2020 and earlier),,2018-06-27,2018-07-02,925,lv,42.0,41.0,2.0
2018,G,AZ,Governor,PPP,D,2018-08-30,2018-08-31,554,v,43.0,44.0,1.4
2018,G,AZ,Governor,Gravis Marketing (2020 and earlier),,2018-09-05,2018-09-07,882,lv,44.0,48.0,2.0
2018,G,AZ,Governor,Beacon/Shaw,,2018-09-08,2018-09-11,710,lv,40.0,51.0,2.8
2018,G,AZ,Governor,Beacon/Shaw,,2018-09-08,2018-09-11,801,rv,39.0,49.0,2.8
2018,G,AZ,Governor,TargetSmart,D,2018-09-08,2018-09-13,800,lv,48.0,49.0,2.0
2018,G,AZ,Governor,Ipsos,,2018-09-05,2018-09-14,1016,lv,39.1,50.7,2.8
2018,G,AZ,Governor,Ipsos,,2018-09-05,2018-09-14,2000,a,33.0,41.0,2.8
2018,G,AZ,Governor,CNN/SSRS,,2018-09-11,2018-09-15,761,lv,46.0,49.0,2.8
2018,G,AZ,Governor,CNN/SSRS,,2018-09-11,2018-09-15,854,rv,45.0,48.0,2.8
2018,G,AZ,Governor,Marist College,,2018-09-16,2018-09-20,763,rv,42.0,51.0,2.9
2018,G,AZ,Governor,Marist College,,2018-09-16,2018-09-20,763,rv,37.0,48.0,2.9
2018,G,AZ,Governor,Marist College,,2018-09-16,2018-09-20,564,lv,43.0,51.0,2.9
2018,G,AZ,Governor,Marist College,,2018-09-16,2018-09-20,564,lv,39.0,49.0,2.9
2018,G,AZ,Governor,Emerson,,2018-09-19,2018-09-21,650,rv,38.3,41.9,2.9
2018,G,AZ,Governor,Latino Decisions,,2018-09-10,2018-09-25,463,lv,40.0,45.0,
2018,G,AZ,Governor,Latino Decisions,,2018-09-10,2018-09-25,610,rv,37.0,41.0,
2018,G,AZ,Governor,Suffolk,,2018-09-27,2018-09-30,500,lv,38.0,49.6,2.9
2018,G,AZ,Governor,Vox Populi Polling,,2018-09-29,2018-10-01,702,lv,43.0,57.0,
2018,G,AZ,Governor,Beacon/Shaw,,2018-09-29,2018-10-02,716,lv,37.0,55.0,2.8
2018,G,AZ,Governor,Beacon/Shaw,,2018-09-29,2018-10-02,806,rv,35.0,54.0,2.8
2018,G,AZ,Governor,OH Predictive Insights / MBQF,,2018-10-03,2018-10-03,600,lv,37.0,54.0,2.4
2018,G,AZ,Governor,Data Orbital,,2018-10-01,2018-10-03,550,lv,33.56,52.13,2.9
2018,G,AZ,Governor,Data Orbital,,2018-10-01,2018-10-03,550,lv,35.02,50.65,2.9
2018,G,AZ,Governor,Change Research,D,2018-10-09,2018-10-10,783,lv,39.6,47.2,1.4
2018,G,AZ,Governor,OH Predictive Insights / MBQF,,2018-10-22,2018-10-23,600,lv,39.0,57.0,2.4
2018,G,AZ,Governor,YouGov,,2018-10-23,2018-10-26,972,lv,41.0,52.0,3.0
2018,G,AZ,Governor,Ipsos,,2018-10-17,2018-10-26,799,lv,37.0,57.0,2.8
2018,G,AZ,Governor,Ipsos,,2018-10-17,2018-10-26,2001,a,33.0,42.0,2.8
2018,G,AZ,Governor,Marist College,,2018-10-23,2018-10-27,506,lv,42.0,55.0,2.9
2018,G,AZ,Governor,Marist College,,2018-10-23,2018-10-27,793,rv,41.0,55.0,2.9
2018,G,AZ,Governor,Marist College,,2018-10-23,2018-10-27,506,lv,40.0,54.0,2.9
2018,G,AZ,Governor,Marist College,,2018-10-23,2018-10-27,793,rv,38.0,54.0,2.9
2018,G,AZ,Governor,HighGround,,2018-10-26,2018-10-28,400,lv,35.3,54.8,1.8
2018,G,AZ,Governor,Beacon/Shaw,,2018-10-27,2018-10-29,643,lv,37.0,55.0,2.8
2018,G,AZ,Governor,Beacon/Shaw,,2018-10-27,2018-10-29,710,rv,35.0,54.0,2.8
2018,G,AZ,Governor,CNN/SSRS,,2018-10-24,2018-10-29,867,rv,43.0,52.0,2.8
2018,G,AZ,Governor,CNN/SSRS,,2018-10-24,2018-10-29,702,lv,45.0,52.0,2.8
2018,G,AZ,Governor,Vox Populi Polling,,2018-10-27,2018-10-30,677,lv,46.0,54.0,
2018,G,AZ,Governor,HarrisX,,2018-10-24,2018-10-30,1400,lv,34.8,57.0,1.5
2018,G,AZ,Governor,HarrisX,,2018-10-29,2018-10-31,600,lv,37.3,54.3,1.5
2018,G,AZ,Governor,HarrisX,,2018-10-25,2018-10-31,1400,lv,36.0,56.0,1.5
2018,G,AZ,Governor,HarrisX,,2018-10-30,2018-11-01,600,lv,35.7,56.8,1.5
2018,G,AZ,Governor,HarrisX,,2018-10-26,2018-11-01,1400,lv,35.0,56.0,1.5
2018,G,AZ,Governor,HarrisX,,2018-10-31,2018-11-02,600,lv,36.5,56.4,1.5
2018,G,AZ,Governor,Gravis Marketing (2020 and earlier),,2018-10-24,2018-11-02,1165,lv,40.0,53.0,2.0
2018,G,AZ,Governor,HarrisX,,2018-11-01,2018-11-03,600,lv,36.3,56.7,1.5
2018,G,AZ,Governor,Emerson,,2018-11-01,2018-11-03,758,lv,40.2,55.3,2.9
2018,G,AZ,Governor,Research Co.,,2018-11-01,2018-11-03,450,rv,39.0,54.0,2.4
2018,G,AZ,Governor,HarrisX,,2018-11-02,2018-11-04,600,lv,37.4,54.9,1.5
2018,G,AZ,Governor,HarrisX,,2018-11-03,2018-11-05,600,lv,38.5,52.8,1.5
2018,G,CA,Governor,Tulchin Research/J. Wallin Opinion Research,,2018-03-30,2018-04-04,800,lv,42.0,32.2,
2018,G,CA,Governor,USC Dornsife,,2018-06-06,2018-06-17,893,a,37.0,22.0,2.4
2018,G,CA,Governor,USC Dornsife,,2018-06-06,2018-06-17,767,rv,42.0,26.0,2.4
2018,G,CA,Governor,SurveyUSA,,2018-06-26,2018-06-27,559,lv,58.0,29.0,2.8
2018,G,CA,Governor,PPIC,,2018-07-08,2018-07-17,1020,lv,55.0,31.0,2.5
2018,G,CA,Governor,Probolsky Research,,2018-08-29,2018-09-02,900,lv,43.8,38.7,1.3
2018,G,CA,Governor,Thomas Part­ners Strategies/Øptimus,,2018-09-07,2018-09-09,1227,lv,47.9,39.7,
2018,G,CA,Governor,Ipsos,,2018-09-05,2018-09-14,1021,lv,52.2,39.5,2.8
2018,G,CA,Governor,Ipsos,,2018-09-05,2018-09-14,2000,a,45.0,29.0,2.8
2018,G,CA,Governor,Thomas Part­ners Strategies/Øptimus,,2018-09-14,2018-09-16,1040,lv,45.2,41.1,
2018,G,CA,Governor,Vox Populi Polling,,2018-09-16,2018-09-18,500,lv,60.0,40.0,
2018,G,CA,Governor,PPIC,,2018-09-09,2018-09-18,964,lv,51.0,39.0,2.5
2018,G,CA,Governor,Thomas Part­ners Strategies/Øptimus,,2018-09-21,2018-09-23,1068,lv,53.0,42.0,
2018,G,CA,Governor,Thomas Part­ners Strategies/Øptimus,,2018-09-28,2018-09-30,1068,lv,50.0,45.0,
2018,G,CA,Governor,Thomas Part­ners Strategies/Øptimus,,2018-10-05,2018-10-07,1068,lv,53.8,42.2,
2018,G,CA,Governor,SurveyUSA,,2018-10-12,2018-10-14,762,lv,52.0,35.0,2.8
2018,G,CA,Governor,Thomas Part­ners Strategies/Øptimus,,2018-10-12,2018-10-14,1068,lv,50.7,43.3,
2018,G,CA,Governor,USC Dornsife,,2018-09-17,2018-10-14,794,lv,54.0,31.0,2.4
2018,G,CA,Governor,USC Dornsife,,2018-09-17,2018-10-14,980,rv,51.0,30.0,2.4
2018,G,CA,Governor,Emerson,,2018-10-17,2018-10-19,671,lv,52.1,32.2,2.9
2018,G,CA,Governor,Thomas Part­ners Strategies/Øptimus,,2018-10-18,2018-10-20,1068,lv,53.9,41.4,
2018,G,CA,Governor,PPIC,,2018-10-12,2018-10-21,989,lv,49.0,38.0,2.5
2018,G,CA,Governor,YouGov,,2018-10-10,2018-10-24,2178,rv,53.0,34.0,3.0
2018,G,CA,Governor,UC Berkeley,,2018-10-19,2018-10-25,1339,lv,58.0,40.0,2.5
2018,G,CA,Governor,Gravis Marketing (2020 and earlier),,2018-10-25,2018-10-26,743,lv,55.0,35.0,2.0
2018,G,CA,Governor,Thomas Part­ners Strategies/Øptimus,,2018-10-25,2018-10-27,1068,lv,55.0,41.6,
2018,G,CA,Governor,Probolsky Research,,2018-10-25,2018-10-30,900,lv,47.2,36.7,1.3
2018,G,CA,Governor,SurveyUSA,,2018-11-01,2018-11-02,924,lv,53.0,38.0,2.8
2018,G,CA,Governor,Research Co.,,2018-11-01,2018-11-03,450,rv,58.0,38.0,2.4
2018,G,CA,Governor,Change Research,,2018-11-02,2018-11-04,1108,lv,53.0,41.0,1.4
2018,G,CO,Governor,Strategies 360,D,2018-05-29,2018-06-06,500,lv,42.0,37.0,1.3
2018,G,CO,Governor,PPP,D,2018-06-27,2018-06-28,608,v,47.0,40.0,1.4
2018,G,CO,Governor,Kaiser Family Foundation,,2018-08-15,2018-09-19,1585,rv,44.0,33.0,2.5
2018,G,CO,Governor,Keating Research/Magellan Strategies,,2018-09-18,2018-09-20,600,lv,47.0,40.0,
2018,G,CO,Governor,Magellan,,2018-10-08,2018-10-10,500,lv,47.0,40.0,1.9
2018,G,CO,Governor,YouGov,,2018-10-12,2018-10-17,800,rv,54.0,42.0,3.0
2018,G,CO,Governor,Magellan,,2018-10-29,2018-10-30,500,lv,45.0,40.0,1.9
2018,G,CO,Governor,Keating Research/Onsight Public Affairs/Martin Campaigns,,2018-10-25,2018-10-30,517,lv,50.0,42.0,
2018,G,CT,Governor,Quinnipiac,,2018-08-16,2018-08-21,1029,rv,46.0,33.0,2.8
2018,G,CT,Governor,Quinnipiac,,2018-08-16,2018-08-21,1029,rv,53.0,37.0,2.8
2018,G,CT,Governor,GreatBlue Research,,2018-08-16,2018-08-21,502,lv,40.8,36.9,2.0
2018,G,CT,Governor,Gravis Marketing (2020 and earlier),,2018-08-24,2018-08-27,606,lv,49.0,40.0,2.0
2018,G,CT,Governor,GreatBlue Research,,2018-09-12,2018-09-17,501,lv,43.1,36.9,2.0
2018,G,CT,Governor,Quinnipiac,,2018-10-03,2018-10-08,767,lv,47.0,39.0,2.8
2018,G,CT,Governor,PPP,D,2018-10-08,2018-10-09,828,v,43.0,38.0,1.4
2018,G,CT,Governor,GreatBlue Research,,2018-10-13,2018-10-17,501,lv,39.5,36.1,2.0
2018,G,CT,Governor,Quinnipiac,,2018-10-22,2018-10-28,1201,lv,47.0,43.0,2.8
2018,G,CT,Governor,Emerson,,2018-10-27,2018-10-29,780,lv,45.5,39.3,2.9
2018,G,CT,Governor,GreatBlue Research,,2018-10-29,2018-10-31,500,lv,37.6,40.0,2.0
2018,G,CT,Governor,Gravis Marketing (2020 and earlier),,2018-10-30,2018-11-01,681,lv,46.0,37.0,2.0
2018,G,FL,Governor,Gravis Marketing (2020 and earlier),,2018-02-26,2018-03-19,2212,lv,33.0,29.0,2.0
2018,G,FL,Governor,Gravis Marketing (2020 and earlier),,2018-05-31,2018-06-15,1251,lv,38.0,35.0,2.0
2018,G,FL,Governor,Gravis Marketing (2020 and earlier),,2018-07-13,2018-07-14,1840,lv,36.0,39.0,2.0
2018,G,FL,Governor,PPP,D,2018-08-29,2018-08-30,743,v,48.0,43.0,1.4
2018,G,FL,Governor,Gravis Marketing (2020 and earlier),,2018-08-29,2018-08-30,1225,rv,47.0,45.0,2.0
2018,G,FL,Governor,Quinnipiac,,2018-08-30,2018-09-03,785,lv,50.0,47.0,2.8
2018,G,FL,Governor,St. Pete Polls,,2018-09-05,2018-09-06,2240,lv,47.6,47.3,2.4
2018,G,FL,Governor,SurveyUSA,,2018-09-07,2018-09-09,634,lv,47.0,43.0,2.8
2018,G,FL,Governor,Cherry Communications,R,2018-09-06,2018-09-09,514,lv,47.0,43.0,1.0
2018,G,FL,Governor,Rasmussen,,2018-09-10,2018-09-11,800,lv,48.0,42.0,2.1
2018,G,FL,Governor,Ipsos,,2018-09-05,2018-09-12,1000,lv,50.1,43.5,2.8
2018,G,FL,Governor,Ipsos,,2018-09-05,2018-09-12,2015,a,42.0,35.0,2.8
2018,G,FL,Governor,Florida Atlantic University,,2018-09-13,2018-09-16,850,lv,41.0,39.0,2.0
2018,G,FL,Governor,U. North Florida,,2018-09-17,2018-09-19,605,lv,47.0,43.0,2.8
2018,G,FL,Governor,Marist College,,2018-09-16,2018-09-20,829,rv,49.0,41.0,2.9
2018,G,FL,Governor,Marist College,,2018-09-16,2018-09-20,600,lv,48.0,43.0,2.9
2018,G,FL,Governor,Quinnipiac,,2018-09-20,2018-09-24,888,lv,54.0,45.0,2.8
2018,G,FL,Governor,Cherry Communications,R,2018-09-19,2018-09-24,622,lv,48.0,42.0,1.0
2018,G,FL,Governor,Mason-Dixon,,2018-09-24,2018-09-27,815,lv,45.0,44.0,2.6
2018,G,FL,Governor,St. Pete Polls,,2018-09-29,2018-09-30,2313,lv,46.7,44.7,2.4
2018,G,FL,Governor,PPP,D,2018-09-28,2018-09-30,779,v,48.0,44.0,1.4
2018,G,FL,Governor,The Political Matrix/The Listener Group,,2018-09-27,2018-09-30,1037,lv,44.5,46.7,0.7
2018,G,FL,Governor,Strategic Research Associates,,2018-09-17,2018-09-30,800,lv,44.0,43.0,1.8
2018,G,FL,Governor,Kaiser Family Foundation,,2018-09-19,2018-10-02,522,rv,48.0,40.0,2.5
2018,G,FL,Governor,Florida Southern College,,2018-10-01,2018-10-05,476,lv,47.13,43.82,
2018,G,FL,Governor,St. Pete Polls,,2018-10-15,2018-10-16,1974,lv,47.0,45.9,2.4
2018,G,FL,Governor,OnMessage Inc.,R,2018-10-14,2018-10-18,2200,lv,45.0,48.0,1.1
2018,G,FL,Governor,Schroth Eldon & Associates,D,2018-10-17,2018-10-20,600,lv,48.0,42.0,1.6
2018,G,FL,Governor,CNN/SSRS,,2018-10-16,2018-10-20,872,rv,52.0,42.0,2.8
2018,G,FL,Governor,CNN/SSRS,,2018-10-16,2018-10-20,759,lv,54.0,42.0,2.8
2018,G,FL,Governor,St. Pete Polls,,2018-10-20,2018-10-21,1575,lv,47.4,46.4,2.4
2018,G,FL,Governor,SurveyUSA,,2018-10-18,2018-10-21,665,lv,49.0,42.0,2.8
2018,G,FL,Governor,Florida Atlantic University,,2018-10-18,2018-10-21,704,lv,41.4,36.7,2.0
2018,G,FL,Governor,Quinnipiac,,2018-10-17,2018-10-21,1161,lv,52.0,46.0,2.8
2018,G,FL,Governor,1892 Polling,R,2018-10-20,2018-10-22,2500,rv,46.0,47.0,1.3
2018,G,FL,Governor,Saint Leo U.,,2018-10-16,2018-10-22,698,lv,48.6,36.8,1.3
2018,G,FL,Governor,Gravis Marketing (2020 and earlier),,2018-10-22,2018-10-23,773,lv,51.0,46.0,2.0
2018,G,FL,Governor,Strategic Research Associates,,2018-10-16,2018-10-23,800,lv,45.0,48.0,1.8
2018,G,FL,Governor,Ipsos,,2018-10-17,2018-10-25,1069,lv,50.0,44.0,2.8
2018,G,FL,Governor,Ipsos,,2018-10-17,2018-10-25,2000,a,47.0,35.0,2.8
2018,G,FL,Governor,YouGov,,2018-10-23,2018-10-26,991,lv,47.0,46.0,3.0
2018,G,FL,Governor,U. North Florida,,2018-10-23,2018-10-26,1051,lv,49.0,43.0,2.8
2018,G,FL,Governor,Siena/NYT,,2018-10-23,2018-10-27,737,lv,47.63,43.25,3.0
2018,G,FL,Governor,Siena/NYT,,2018-10-23,2018-10-27,737,rv,47.74,37.61,3.0
2018,G,FL,Governor,Suffolk,,2018-10-25,2018-10-28,500,lv,45.0,44.0,2.9
2018,G,FL,Governor,Cygnal,,2018-10-27,2018-10-29,495,lv,46.7,47.3,2.1
2018,G,FL,Governor,CNN/SSRS,,2018-10-24,2018-10-29,887,rv,48.0,45.0,2.8
2018,G,FL,Governor,CNN/SSRS,,2018-10-24,2018-10-29,781,lv,49.0,48.0,2.8
2018,G,FL,Governor,Trafalgar Group,R,2018-10-29,2018-10-30,2543,lv,48.4,46.1,0.7
2018,G,FL,Governor,The Political Matrix/The Listener Group,,2018-10-28,2018-10-30,1193,lv,43.3,50.5,0.7
2018,G,FL,Governor,Vox Populi Polling,,2018-10-27,2018-10-30,696,lv,53.0,47.0,
2018,G,FL,Governor,HarrisX,,2018-10-24,2018-10-30,1400,lv,44.2,41.9,1.5
2018,G,FL,Governor,HarrisX,,2018-10-29,2018-10-31,600,lv,49.7,43.2,1.5
2018,G,FL,Governor,Targoz Market Research,,2018-10-28,2018-10-31,558,lv,47.0,48.0,1.8
2018,G,FL,Governor,MWR Strategies,,2018-10-25,2018-10-31,1005,lv,41.3,40.3,
2018,G,FL,Governor,HarrisX,,2018-10-25,2018-10-31,1400,lv,48.0,44.0,1.5
2018,G,FL,Governor,HarrisX,,2018-10-30,2018-11-01,600,lv,49.5,44.5,1.5
2018,G,FL,Governor,HarrisX,,2018-10-26,2018-11-01,1400,lv,47.0,45.0,1.5
2018,G,FL,Governor,St. Pete Polls,,2018-11-01,2018-11-02,2733,lv,48.4,46.3,2.4
2018,G,FL,Governor,HarrisX,,2018-10-31,2018-11-02,600,lv,49.5,44.8,1.5
2018,G,FL,Governor,Marist College,,2018-10-30,2018-11-02,595,lv,50.0,46.0,2.9
2018,G,FL,Governor,Marist College,,2018-10-30,2018-11-02,917,rv,50.0,45.0,2.9
2018,G,FL,Governor,Gravis Marketing (2020 and earlier),,2018-10-29,2018-11-02,753,lv,48.0,47.0,2.0
2018,G,FL,Governor,HarrisX,,2018-11-01,2018-11-03,600,lv,48.6,45.5,1.5
2018,G,FL,Governor,Emerson,,2018-11-01,2018-11-03,784,lv,50.9,45.6,2.9
2018,G,FL,Governor,Research Co.,,2018-11-01,2018-11-03,450,rv,47.0,46.0,2.4
2018,G,FL,Governor,St. Pete Polls,,2018-11-03,2018-11-04,3088,lv,49.5,45.4,2.4
2018,G,FL,Governor,HarrisX,,2018-11-02,2018-11-04,600,lv,48.1,45.6,1.5
2018,G,FL,Governor,Quinnipiac,,2018-10-29,2018-11-04,1142,lv,50.0,43.0,2.8
2018,G,FL,Governor,Trafalgar Group,R,2018-11-04,2018-11-05,1484,lv,46.6,50.0,0.7
2018,G,FL,Governor,HarrisX,,2018-11-03,2018-11-05,600,lv,48.7,46.3,1.5
2018,G,GA,Governor,Mason-Dixon,,2018-02-20,2018-02-23,625,rv,40.0,37.0,2.6
2018,G,GA,Governor,Garin Hart Yang,D,2018-05-23,2018-05-25,601,lv,49.0,40.0,1.0
2018,G,GA,Governor,SurveyUSA,,2018-07-15,2018-07-19,1199,lv,44.0,46.0,2.8
2018,G,GA,Governor,Gravis Marketing (2020 and earlier),,2018-07-27,2018-07-29,650,lv,46.0,44.0,2.0
2018,G,GA,Governor,U. Georgia SPIA,,2018-08-26,2018-09-04,1020,lv,44.9,45.3,2.2
2018,G,GA,Governor,Garin Hart Yang,D,2018-09-17,2018-09-20,603,lv,48.0,42.0,1.0
2018,G,GA,Governor,SurveyMonkey,,2018-09-09,2018-09-24,1955,rv,43.0,43.0,2.0
2018,G,GA,Governor,Landmark Communications,,2018-10-01,2018-10-01,964,lv,46.3,48.0,2.1
2018,G,GA,Governor,PPP,D,2018-10-05,2018-10-06,729,v,46.0,46.0,1.4
2018,G,GA,Governor,SurveyUSA,,2018-10-03,2018-10-08,655,lv,45.0,47.0,2.8
2018,G,GA,Governor,U. Georgia SPIA,,2018-09-30,2018-10-09,1232,lv,46.3,47.7,2.2
2018,G,GA,Governor,Ipsos,,2018-10-04,2018-10-11,1088,lv,46.0,47.0,2.8
2018,G,GA,Governor,Ipsos,,2018-10-04,2018-10-11,1999,a,37.0,35.0,2.8
2018,G,GA,Governor,Marist College,,2018-10-14,2018-10-18,554,lv,47.0,49.0,2.9
2018,G,GA,Governor,Marist College,,2018-10-14,2018-10-18,864,rv,47.0,47.0,2.9
2018,G,GA,Governor,Marist College,,2018-10-14,2018-10-18,554,lv,45.0,46.0,2.9
2018,G,GA,Governor,Marist College,,2018-10-14,2018-10-18,864,rv,46.0,44.0,2.9
2018,G,GA,Governor,Opinion Savvy,,2018-10-21,2018-10-22,824,lv,47.7,48.4,2.0
2018,G,GA,Governor,Opinion Savvy,,2018-10-28,2018-10-29,623,lv,48.1,47.2,2.0
2018,G,GA,Governor,Cygnal,,2018-10-27,2018-10-30,504,lv,47.0,49.2,2.1
2018,G,GA,Governor,U. Georgia SPIA,,2018-10-21,2018-10-30,1091,lv,46.9,46.7,2.2
2018,G,GA,Governor,Emerson,,2018-10-29,2018-10-31,724,lv,47.3,49.4,2.9
2018,G,GA,Governor,"20/20 Insight, LLC",D,2018-10-31,2018-11-02,614,lv,50.0,46.0,1.1
2018,G,GA,Governor,Trafalgar Group,R,2018-10-30,2018-11-03,2171,lv,40.1,52.4,0.7
2018,G,HI,Governor,Mason-Dixon,,2018-03-13,2018-03-18,800,rv,51.0,24.0,2.6
2018,G,HI,Governor,Mason-Dixon,,2018-07-06,2018-07-11,800,rv,57.0,34.0,2.6
2018,G,HI,Governor,MRG Research (Merriman River Group),,2018-10-08,2018-10-12,961,lv,52.0,31.0,1.1
2018,G,IA,Governor,Selzer,,2018-01-28,2018-01-31,801,a,37.0,42.0,2.8
2018,G,IA,Governor,Emerson,,2018-09-06,2018-09-08,1000,rv,35.9,31.3,2.9
2018,G,IA,Governor,Selzer,,2018-09-17,2018-09-20,555,lv,43.0,41.0,2.8
2018,G,IA,Governor,U. Iowa,,2018-10-08,2018-10-22,485,a,43.61,40.01,
2018,G,IA,Governor,U. Iowa,,2018-10-08,2018-10-22,452,lv,47.7,40.31,
2018,G,IA,Governor,Emerson,,2018-10-29,2018-11-01,1462,lv,45.0,48.9,2.9
2018,G,IA,Governor,Selzer,,2018-10-30,2018-11-02,801,lv,46.0,44.0,2.8
2018,G,IA,Governor,Change Research,,2018-11-02,2018-11-04,961,lv,49.0,46.0,1.4
2018,G,ID,Governor,Dan Jones,,2018-06-22,2018-07-09,606,a,31.0,43.0,1.9
2018,G,ID,Governor,Clarity,D,2018-07-12,2018-07-15,1061,lv,28.0,38.0,1.6
2018,G,ID,Governor,Clarity,D,2018-08-02,2018-08-05,826,lv,28.0,36.0,1.6
2018,G,ID,Governor,Change Research,,2018-11-02,2018-11-04,838,lv,39.0,55.0,1.4
2018,G,IL,Governor,Ogden & Fry,R,2017-10-02,2017-10-02,517,rv,47.2,29.8,1.6
2018,G,IL,Governor,Southern Illinois University,,2018-02-19,2018-02-25,1001,rv,50.0,35.0,2.5
2018,G,IL,Governor,Ogden & Fry,,2018-03-23,2018-03-23,667,lv,46.0,28.0,1.6
2018,G,IL,Governor,Victory Research,,2018-04-18,2018-04-21,1208,lv,49.4,31.2,1.8
2018,G,IL,Governor,Victory Research,,2018-05-22,2018-05-24,1208,lv,47.3,32.2,1.8
2018,G,IL,Governor,We Ask America,,2018-06-09,2018-06-11,600,lv,36.0,27.0,
2018,G,IL,Governor,Victory Research,,2018-06-26,2018-06-28,1208,lv,44.9,29.9,1.8
2018,G,IL,Governor,Illinois Public Opinion Strategies,,2018-07-12,2018-07-12,423,lv,39.4,26.1,
2018,G,IL,Governor,Baselice & Associates,,2018-07-25,2018-07-29,800,lv,42.0,29.0,1.4
2018,G,IL,Governor,Victory Research,,2018-08-12,2018-08-14,1208,lv,41.1,30.2,1.8
2018,G,IL,Governor,University of Illinois Springfield,,2018-07-03,2018-08-15,717,rv,35.0,23.0,2.5
2018,G,IL,Governor,Marist College,,2018-08-12,2018-08-16,734,rv,46.0,30.0,2.9
2018,G,IL,Governor,Research America,,2018-09-05,2018-09-13,1024,rv,44.0,27.1,0.7
2018,G,IL,Governor,Anzalone Liszt Grove,D,2018-09-21,2018-09-25,1007,lv,48.0,32.0,1.5
2018,G,IL,Governor,Southern Illinois University,,2018-09-24,2018-09-29,715,lv,49.0,27.0,2.5
2018,G,IL,Governor,Victory Research,,2018-09-27,2018-10-02,1208,lv,47.4,31.5,1.8
2018,G,IL,Governor,Ipsos,,2018-09-27,2018-10-05,968,lv,50.1,29.7,2.8
2018,G,IL,Governor,Ipsos,,2018-09-27,2018-10-05,2000,a,42.0,24.0,2.8
2018,G,IL,Governor,Victory Research,,2018-11-01,2018-11-03,1208,lv,49.0,33.0,1.8
2018,G,KS,Governor,Remington,,2018-07-19,2018-07-20,1189,lv,36.0,35.0,2.6
2018,G,KS,Governor,PPP,D,2018-08-24,2018-08-26,877,v,38.0,39.0,1.4
2018,G,KS,Governor,PPP,D,2018-09-12,2018-09-13,618,v,38.0,39.0,1.4
2018,G,KS,Governor,PPP,D,2018-09-12,2018-09-13,618,v,46.0,47.0,1.4
2018,G,KS,Governor,Civiqs,D,2018-09-21,2018-09-24,1178,rv,41.0,39.0,2.4
2018,G,KS,Governor,Fort Hays State University,,2018-08-22,2018-09-25,324,a,40.0,36.0,0.9
2018,G,KS,Governor,Emerson,,2018-09-26,2018-09-28,938,rv,35.9,37.3,2.9
