Pollster,Date,Sample,Approve,Disapprove,Diff
Daily Mail,3/18 - 3/20,1037 RV,42,58,-16
CBS News,3/17 - 3/20,3335 A,40,60,-20
Reuters/Ipsos,3/17 - 3/19,1545 A,40,58,-18
Quantus Insights,3/17 - 3/18,1064 LV,44,55,-11
Rasmussen Reports,3/15 - 3/19,1500 LV,45,54,-9
Emerson,3/16 - 3/17,1000 LV,42,51,-9
RMG Research*,3/11 - 3/19,3000 RV,46,53,-7
Economist/YouGov,3/13 - 3/16,1429 RV,41,56,-15
Morning Consult,3/13 - 3/16,2201 RV,43,54,-11
Echelon Insights**,3/12 - 3/16,1033 LV,41,57,-16
Yahoo News,3/12 - 3/16,1148 RV,40,58,-18
Rasmussen Reports,3/8 - 3/12,1500 LV,44,54,-10
RMG Research*,3/4 - 3/12,3000 RV,45,53,-8
Economist/YouGov,3/6 - 3/9,1405 RV,43,54,-11
Morning Consult,3/6 - 3/8,2202 RV,44,53,-9
Quinnipiac,3/6 - 3/8,1002 RV,37,57,-20
NPR/PBS/Marist,3/2 - 3/4,1392 RV,40,57,-17
Rasmussen Reports,3/1 - 3/5,1500 LV,45,54,-9
Quantus Insights,3/2 - 3/3,1624 LV,45,54,-9
Daily Mail,3/2 - 3/3,1020 RV,44,56,-12
RMG Research*,2/28 - 3/4,3000 RV,46,52,-6
Trafalgar Group,3/1 - 3/3,1098 LV,50,48,2
FOX News,2/28 - 3/2,1004 RV,43,57,-14
NBC News,2/27 - 3/3,1000 RV,44,54,-10
Economist/YouGov,2/27 - 3/2,1366 RV,42,56,-14
Reuters/Ipsos,2/28 - 3/1,1282 A,38,60,-22
CBS News,2/25 - 2/27,2264 A,41,59,-18
I&I/TIPP,2/24 - 2/27,1456 A,40,51,-11
Harvard-Harris,2/25 - 2/26,1999 RV,46,49,-3
Trafalgar Group,2/24 - 2/25,1084 LV,51,48,3
Rasmussen Reports,2/22 - 2/26,1500 LV,45,53,-8
Economist/YouGov,2/20 - 2/23,1402 RV,42,57,-15
Emerson,2/21 - 2/22,1000 LV,43,55,-12
CBS News,2/20 - 2/23,2381 A,40,60,-20
Morning Consult,2/20 - 2/22,2202 RV,45,53,-8
RMG Research*,2/18 - 2/26,3000 RV,45,54,-9
Reuters/Ipsos,2/18 - 2/23,4638 A,40,58,-18
CNN,2/17 - 2/20,RV,39,61,-22
InsiderAdvantage,2/17 - 2/18,800 LV,50,46,4
Rasmussen Reports,2/15 - 2/19,1500 LV,47,51,-4
Big Data Poll,2/16 - 2/18,2012 RV,42,55,-13
Morning Consult,2/13 - 2/16,2200 RV,43,55,-12
RMG Research*,2/11 - 2/19,3000 RV,47,52,-5
Economist/YouGov,2/13 - 2/16,1512 RV,43,55,-12
Reuters/Ipsos,2/13 - 2/16,1117 A,38,60,-22
ABC/Wash Post/Ipsos,2/12 - 2/17,2087 RV,41,58,-17
Quantus Insights,2/13 - 2/13,1515 LV,43,56,-13
Yahoo News,2/9 - 2/12,1149 RV,42,56,-14
RMG Research*,2/4 - 2/12,3000 RV,47,51,-4
AP/NORC**,2/6 - 2/9,1156 A,36,62,-26
Morning Consult,2/6 - 2/9,2200 RV,44,53,-9
Economist/YouGov,2/6 - 2/9,1551 RV,40,57,-17
NBC News Decision Desk,1/27 - 2/6,21995 A,39,61,-22
InsiderAdvantage,1/31 - 2/1,1000 LV,50,49,1
Economist/YouGov,1/30 - 2/2,1504 RV,42,55,-13
Quinnipiac,1/29 - 2/2,1191 RV,37,56,-19
RMG Research*,1/28 - 2/4,3000 RV,46,53,-7
Morning Consult,1/30 - 2/1,2201 RV,45,53,-8
PPP,1/29 - 1/30,652 RV,39,56,-17
Harvard-Harris,1/28 - 1/29,2000 RV,45,51,-6
NPR/PBS/Marist,1/27 - 1/30,1326 RV,39,57,-18
I&I/TIPP,1/27 - 1/29,1384 RV,40,51,-11
Daily Mail,1/26 - 1/26,1027 RV,45,55,-10
FOX News,1/23 - 1/26,1005 RV,44,56,-12
Economist/YouGov,1/23 - 1/26,1520 RV,41,57,-16
Marquette,1/21 - 1/28,869 RV,43,57,-14
Morning Consult,1/23 - 1/25,2201 RV,45,52,-7
Reuters/Ipsos,1/23 - 1/25,1139 A,38,59,-21
RMG Research*,1/21 - 1/28,3000 RV,48,51,-3
Big Data Poll,1/22 - 1/24,3280 RV,45,52,-7
Pew Research,1/20 - 1/26,8512 A,37,61,-24
Quantus Insights,1/20 - 1/22,1000 RV,44,52,-8
Emerson,1/17 - 1/19,1000 LV,43,51,-8
Economist/YouGov,1/16 - 1/19,1549 RV,41,56,-15
Morning Consult,1/16 - 1/18,2201 RV,46,51,-5
RMG Research*,1/14 - 1/21,3000 RV,47,51,-4
CBS News,1/14 - 1/16,2523 A,41,59,-18
NY Times/Siena,1/12 - 1/17,1625 RV,40,56,-16
Marist,1/12 - 1/13,1222 RV,39,57,-18
Reuters/Ipsos,1/12 - 1/13,1217 A,41,58,-17
CNN,1/9 - 1/12,968 RV,40,59,-19
Wall Street Journal,1/8 - 1/13,1500 RV,45,54,-9
Economist/YouGov,1/9 - 1/12,1437 RV,44,54,-10
Morning Consult,1/9 - 1/12,2201 RV,45,53,-8
Yahoo News,1/8 - 1/12,1149 RV,43,56,-13
RMG Research*,1/7 - 1/14,3000 RV,48,51,-3
Quinnipiac,1/8 - 1/12,1133 RV,40,54,-14
AP/NORC**,1/8 - 1/11,1203 A,40,59,-19
I&I/TIPP,1/6 - 1/9,1478 A,40,51,-11
Rasmussen Reports,1/7 - 1/13,1500 LV,45,53,-8
RMG Research*,1/5 - 1/8,2000 RV,47,51,-4
CBS News,1/5 - 1/7,2325 A,41,59,-18
Reuters/Ipsos,1/4 - 1/5,1248 A,42,56,-14
Economist/YouGov,1/2 - 1/5,1389 RV,43,55,-12
Morning Consult,1/2 - 1/4,2201 RV,46,51,-5
